scope,samples,mean_predicted_probability,actual_transform_count,actual_transform_rate,brier_score
overall,31,0.5869191919191918,15,0.4838709677419355,0.3138512263950576
0-20%,1,0.0,1,1.0,1.0
20-40%,4,0.33049242424242425,3,0.75,0.3881320305325987
40-60%,11,0.48333333333333334,3,0.2727272727272727,0.20826891362605648
60-80%,9,0.6817340067340067,4,0.4444444444444444,0.3197340194878074
80-100%,5,0.9666666666666666,3,0.6,0.3388888888888889
NO_SUPPORT,1,,1,1.0,
