n_fft,top_wave_pattern,samples,bullish_rate,next_day_samples,next_day_bullish_rate
32,NONE,0,,0,
32,LONG,2,0.0,2,50.0
32,MID,2,50.0,2,50.0
32,SHORT,3,0.0,3,33.33333333333333
32,LONG+MID,1,100.0,1,0.0
32,LONG+SHORT,3,66.66666666666666,3,66.66666666666666
32,MID+SHORT,0,,0,
32,LONG+MID+SHORT,1,100.0,1,100.0
64,NONE,3,0.0,3,33.33333333333333
64,LONG,3,100.0,3,66.66666666666666
64,MID,5,40.0,5,40.0
64,SHORT,3,66.66666666666666,3,33.33333333333333
64,LONG+MID,4,75.0,4,100.0
64,LONG+SHORT,3,0.0,3,100.0
64,MID+SHORT,4,50.0,3,33.33333333333333
64,LONG+MID+SHORT,3,100.0,3,0.0
