pattern,samples,next_day_bullish_count,next_day_bullish_rate
UP-UP-UP,7,5,71.42857142857143
UP-UP-DOWN,7,5,71.42857142857143
UP-DOWN-UP,8,3,37.5
UP-DOWN-DOWN,8,6,75.0
DOWN-UP-UP,8,3,37.5
DOWN-UP-DOWN,7,5,71.42857142857143
DOWN-DOWN-UP,7,2,28.57142857142857
DOWN-DOWN-DOWN,8,0,0.0
