category,value,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
LONG_REGION,TOP,14,10,71.42857142857143,14,4,28.57142857142857
LONG_REGION,RIGHT,16,8,50.0,15,8,53.333333333333336
LONG_REGION,BOTTOM,15,4,26.666666666666668,15,9,60.0
LONG_REGION,LEFT,16,8,50.0,16,8,50.0
LONG_SIDE,TOP,30,18,60.0,30,11,36.666666666666664
LONG_SIDE,BOTTOM,31,12,38.70967741935484,30,18,60.0
MID_REGION,TOP,16,10,62.5,16,5,31.25
MID_REGION,RIGHT,14,7,50.0,14,7,50.0
MID_REGION,BOTTOM,16,5,31.25,15,9,60.0
MID_REGION,LEFT,15,8,53.333333333333336,15,8,53.333333333333336
MID_SIDE,TOP,31,19,61.29032258064516,31,11,35.483870967741936
MID_SIDE,BOTTOM,30,11,36.666666666666664,29,18,62.06896551724138
SHORT_REGION,TOP,15,10,66.66666666666666,15,9,60.0
SHORT_REGION,RIGHT,15,3,20.0,15,10,66.66666666666666
SHORT_REGION,BOTTOM,16,8,50.0,15,3,20.0
SHORT_REGION,LEFT,15,9,60.0,15,7,46.666666666666664
SHORT_SIDE,TOP,30,19,63.33333333333333,30,16,53.333333333333336
SHORT_SIDE,BOTTOM,31,11,35.483870967741936,30,13,43.333333333333336
CENTROID_REGION,TOP,21,15,71.42857142857143,21,7,33.33333333333333
CENTROID_REGION,RIGHT,16,7,43.75,16,11,68.75
CENTROID_REGION,BOTTOM,8,1,12.5,7,4,57.14285714285714
CENTROID_REGION,LEFT,16,7,43.75,16,7,43.75
TOP_WAVE_COUNT,0,8,1,12.5,7,4,57.14285714285714
TOP_WAVE_COUNT,1,23,10,43.47826086956522,23,12,52.17391304347826
TOP_WAVE_COUNT,2,22,11,50.0,22,13,59.09090909090909
TOP_WAVE_COUNT,3,8,8,100.0,8,0,0.0
TOP_WAVE_COUNT,2+,30,19,63.33333333333333,30,13,43.333333333333336
