n_fft,regime,top_wave_count,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
32,STABLE,2+,4,3,75.0,4,2,50.0
32,TRANSITION,2+,1,1,100.0,1,1,100.0
32,UNSTABLE,2+,0,0,,0,0,
64,STABLE,2+,6,4,66.66666666666666,6,3,50.0
64,TRANSITION,2+,7,3,42.857142857142854,7,5,71.42857142857143
64,UNSTABLE,2+,1,1,100.0,1,0,0.0
