score_bin,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
0.0-0.2,4,2,50.0,4,2,50.0
0.2-0.4,19,9,47.368421052631575,19,11,57.89473684210527
0.4-0.6,14,7,50.0,14,8,57.14285714285714
0.6-0.8,13,6,46.15384615384615,12,4,33.33333333333333
0.8-1.0,11,6,54.54545454545454,11,4,36.36363636363637
