score_bin,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
0.0-0.2,0,0,,0,0,
0.2-0.4,40,21,52.5,40,19,47.5
0.4-0.6,16,8,50.0,15,7,46.666666666666664
0.6-0.8,3,1,33.33333333333333,3,2,66.66666666666666
0.8-1.0,2,0,0.0,2,1,50.0
