n_fft,top_wave_count,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
32,0,0,0,,0,0,
32,1,7,1,14.285714285714285,7,3,42.857142857142854
32,2,4,3,75.0,4,2,50.0
32,3,1,1,100.0,1,1,100.0
32,2+,5,4,80.0,5,3,60.0
64,0,4,0,0.0,3,1,33.33333333333333
64,1,11,7,63.63636363636363,11,5,45.45454545454545
64,2,11,5,45.45454545454545,11,8,72.72727272727273
64,3,3,3,100.0,3,0,0.0
64,2+,14,8,57.14285714285714,14,8,57.14285714285714
