regime,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate,avg_long_period,avg_mid_period,avg_short_period,avg_alignment,avg_convergence
INSUFFICIENT_HISTORY,20,10,50.0,20,9,45.0,,,,,
STABLE,26,13,50.0,25,12,48.0,4.0,2.4784696784696787,2.2197802197802194,0.46151648052193217,0.3350294719421258
TRANSITION,14,6,42.857142857142854,14,8,57.14285714285714,4.0,2.4647014361300075,2.204081632653061,0.40583272703127166,0.32997238431536935
UNSTABLE,1,1,100.0,1,0,0.0,4.0,2.3703703703703702,2.2857142857142856,0.2927773611624151,0.29456732836355204
