date,machine,n_observations,n_fft,status,open,high,low,close,bullish,next_day_bullish,long_k,long_frequency,long_period,long_amplitude,long_power,long_rank,mid_k,mid_frequency,mid_period,mid_amplitude,mid_power,mid_rank,short_k,short_frequency,short_period,short_amplitude,short_power,short_rank,long_period_change,long_period_change_pct,mid_period_change,mid_period_change_pct,short_period_change,short_period_change_pct,period_stability_score,regime,dominant_rank_signature,component_reorder,n_fft_changed,long_repeat_period,mid_repeat_period,short_repeat_period,joint_repeat_period,joint_repeat_stable_count,asof_long_phase,asof_mid_phase,asof_short_phase,asof_phase_alignment_score,asof_phase_convergence_score,asof_centroid_region,full_fft_alignment_score,full_fft_convergence_score,full_fft_centroid_region
2026-06-27,049,1,,INSUFFICIENT_HISTORY,0.0,8902.0,-14938.0,6585.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_HISTORY,,False,,,,,,,,,,,,,0.8265841011070856,0.5794792165992677,LEFT
2026-06-28,049,2,,INSUFFICIENT_HISTORY,0.0,1190.0,-16347.0,-16347.0,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_HISTORY,,False,,,,,,,,,,,,,0.8677465441739745,0.6191691997428692,RIGHT
2026-06-29,049,3,,INSUFFICIENT_HISTORY,0.0,38329.0,0.0,34429.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_HISTORY,,False,,,,,,,,,,,,,0.6572048147477281,0.26322847973158825,TOP
2026-06-30,049,4,,INSUFFICIENT_HISTORY,0.0,862.0,-9511.0,-9511.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_HISTORY,,False,,,,,,,,,,,,,0.31606867683830425,0.2838365834330506,LEFT
2026-07-01,049,5,,INSUFFICIENT_HISTORY,0.0,0.0,-8356.0,-7111.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_HISTORY,,False,,,,,,,,,,,,,0.4135787301886303,0.27557375808331275,TOP
2026-07-02,049,6,,INSUFFICIENT_HISTORY,0.0,0.0,-14400.0,-14400.0,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_HISTORY,,False,,,,,,,,,,,,,0.7757752905580688,0.6144571755165379,BOTTOM
2026-07-03,049,7,,INSUFFICIENT_HISTORY,0.0,13966.0,-9778.0,13621.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_HISTORY,,False,,,,,,,,,,,,,0.9592743982756234,0.699546880916501,RIGHT
2026-07-04,049,8,,INSUFFICIENT_HISTORY,0.0,0.0,-15111.0,-15111.0,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_HISTORY,,False,,,,,,,,,,,,,0.8750299734066112,0.5538018638079503,LEFT
2026-07-05,049,9,,INSUFFICIENT_HISTORY,0.0,10517.0,-533.0,2586.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_HISTORY,,False,,,,,,,,,,,,,0.564288164502491,0.44279259158681206,RIGHT
2026-07-06,049,10,,INSUFFICIENT_HISTORY,0.0,10345.0,-2311.0,2759.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_HISTORY,,False,,,,,,,,,,,,,0.32315543193964147,0.27973830926937393,LEFT
2026-07-07,049,11,,INSUFFICIENT_HISTORY,0.0,10690.0,-2311.0,5690.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_HISTORY,,False,,,,,,,,,,,,,0.6227840545137148,0.3973705470944916,RIGHT
2026-07-08,049,12,,INSUFFICIENT_HISTORY,0.0,37179.0,-5714.0,35128.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_HISTORY,,False,,,,,,,,,,,,,0.9255081486084124,0.5835810534387507,TOP
2026-07-09,049,13,,INSUFFICIENT_HISTORY,0.0,0.0,-8356.0,-8356.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_HISTORY,,False,,,,,,,,,,,,,0.9882318991131531,0.913489100224484,BOTTOM
2026-07-10,049,14,,INSUFFICIENT_HISTORY,0.0,9052.0,-444.0,-444.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_HISTORY,,False,,,,,,,,,,,,,0.7814029385461709,0.5043475909638662,RIGHT
2026-07-11,049,15,,INSUFFICIENT_HISTORY,0.0,0.0,-10667.0,-7467.0,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_HISTORY,,False,,,,,,,,,,,,,0.4238111180711341,0.25152378391533214,LEFT
2026-07-12,049,16,,INSUFFICIENT_HISTORY,0.0,22810.0,-2298.0,19835.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_HISTORY,,False,,,,,,,,,,,,,0.4205982761925292,0.2454430282035729,RIGHT
2026-07-13,049,17,,INSUFFICIENT_HISTORY,0.0,10169.0,-11354.0,8136.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_HISTORY,,False,,,,,,,,,,,,,0.7734370783756909,0.47900493516165654,LEFT
2026-07-14,049,18,,INSUFFICIENT_HISTORY,0.0,5664.0,-7748.0,-7748.0,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_HISTORY,,False,,,,,,,,,,,,,0.9749845894525643,0.8696420768779091,BOTTOM
2026-07-15,049,19,,INSUFFICIENT_HISTORY,0.0,41406.0,-1842.0,40365.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_HISTORY,,False,,,,,,,,,,,,,0.9083485205508678,0.5158183701790995,TOP
2026-07-16,049,20,,INSUFFICIENT_HISTORY,0.0,0.0,-2756.0,-2756.0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,INSUFFICIENT_HISTORY,,False,,,,,,,,,,,,,0.6035281943921992,0.3986655382261106,LEFT
2026-07-17,049,21,32,TRANSITION,0.0,0.0,-11378.0,-11378.0,False,False,8,0.25,4.0,11095.761960430847,0.1448798353046692,3,10,0.3125,3.2,11912.244637993252,0.1669863180580399,2,14,0.4375,2.2857142857142856,13401.943623734527,0.21136314123682615,1,,,,,,,,TRANSITION,3-2-1,False,False,4,16,16,16,1,158.30799800314617,27.58072643811738,328.5950730876657,0.2894930698865545,0.2821508337042321,RIGHT,0.29482255579248073,0.2755737580833124,TOP
2026-07-18,049,22,32,TRANSITION,0.0,2586.0,-10044.0,-9156.0,False,True,8,0.25,4.0,11314.965459761077,0.15858364326781446,2,10,0.3125,3.2,10405.384613586584,0.13411217356019645,3,14,0.4375,2.2857142857142856,13768.731325403785,0.23482253754419088,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TRANSITION,2-3-1,True,False,4,16,16,16,2,319.7871892868893,52.55297809214517,136.0151276126321,0.355206517746905,0.2976725516558051,RIGHT,0.5347646438192056,0.4098860847930036,LEFT
2026-07-19,049,23,32,STABLE,0.0,15345.0,-711.0,11379.0,True,True,8,0.25,4.0,11283.573416340858,0.1693433605938076,2,10,0.3125,3.2,10124.587656804948,0.1363419639762131,3,14,0.4375,2.2857142857142856,13458.55312480638,0.24091930538483092,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STABLE,2-3-1,False,False,4,16,16,16,3,119.36053210014325,144.1502352479556,245.27458278710128,0.6015430001777556,0.2507149023540145,TOP,0.8378952909646723,0.49777504118474936,RIGHT
2026-07-20,049,24,32,STABLE,0.0,8707.0,-1511.0,1983.0,True,False,8,0.25,4.0,10694.967670285552,0.16511140342347316,2,10,0.3125,3.2,9979.15560516471,0.1437492892225501,3,14,0.4375,2.2857142857142856,12935.872506071659,0.24155140606687464,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STABLE,2-3-1,False,False,4,16,16,16,4,278.077381622742,235.36368430795255,357.7955682342463,0.6458320719042738,0.4229147344826162,LEFT,0.9160492104344999,0.5857101148570278,LEFT
2026-07-21,049,25,32,STABLE,0.0,4483.0,-6933.0,-6933.0,False,False,8,0.25,4.0,11094.775431422426,0.1927774417638269,2,10,0.3125,3.2,9295.219633679906,0.1353126789863927,3,14,0.4375,2.2857142857142856,12649.492829028664,0.2505909639923364,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STABLE,2-3-1,False,False,4,16,16,16,5,71.84012181339176,327.61832495644785,105.44457655027918,0.5469287492891162,0.41397150914600667,RIGHT,0.7329455795955959,0.5701641609684591,BOTTOM
2026-07-22,049,26,32,STABLE,0.0,6034.0,-8000.0,-8000.0,False,True,8,0.25,4.0,11112.429450273456,0.20576133306212327,2,10,0.3125,3.2,8375.475061501711,0.11688657442316339,3,14,0.4375,2.2857142857142856,11661.829112376505,0.22661000359630568,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STABLE,2-3-1,False,False,4,16,16,16,6,232.5398879774475,53.90593370279703,221.73665507859323,0.3350064076658651,0.2718905591411829,TOP,0.3706559987734942,0.27973830926937304,TOP
2026-07-23,049,27,32,TRANSITION,0.0,22562.0,0.0,13140.0,True,True,8,0.25,4.0,11339.888243743078,0.2219441977201086,1,14,0.4375,2.2857142857142856,10559.836099600603,0.19246005329129973,2,16,0.5,2.0,8579.807956104252,0.12705196338315397,3,0.0,0.0,0.9142857142857146,0.2857142857142858,0.2857142857142856,0.12499999999999994,0.45238095238095233,TRANSITION,1-2-3,True,False,4,16,2,16,7,146.03403462807682,32.08066826818322,180.0000000000009,0.48900703551868735,0.29325916399887764,TOP,0.26462702977271957,0.27104238216130006,RIGHT
2026-07-24,049,28,32,STABLE,0.0,20579.0,-1021.0,19091.0,True,False,8,0.25,4.0,11439.292032448544,0.23658251766064997,1,14,0.4375,2.2857142857142856,11219.594151823278,0.22758238771056877,2,16,0.5,2.0,7261.349206349207,0.09532767495477264,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STABLE,1-2-3,False,False,4,16,2,16,8,231.49847450594234,188.41249514443007,0.0,0.3707510489791444,0.29406077154377797,TOP,0.6040093818955986,0.24841298125067124,TOP
