order,time,machine,group,source
1,10:22,0058,g4,PSCUBE history CSV status=初当り
2,10:40,0042,g6,PSCUBE history CSV status=初当り
3,10:59,0077,g5,PSCUBE history CSV status=初当り
4,11:19,0061,g7,PSCUBE history CSV status=初当り
5,11:23,0040,g4,PSCUBE history CSV status=初当り
6,11:23,0052,g7,PSCUBE history CSV status=初当り
7,11:27,0057,g3,PSCUBE history CSV status=初当り
8,11:27,0071,g8,PSCUBE history CSV status=初当り
9,11:47,0046,g1,PSCUBE history CSV status=初当り
10,11:49,0039,g3,PSCUBE history CSV status=初当り
11,12:14,0060,g6,PSCUBE history CSV status=初当り
12,12:14,0062,g8,PSCUBE history CSV status=初当り
13,12:30,0048,g3,PSCUBE history CSV status=初当り
14,12:36,0047,g2,PSCUBE history CSV status=初当り
15,12:38,0053,g8,PSCUBE history CSV status=初当り
16,12:41,0075,g3,PSCUBE history CSV status=初当り
17,12:43,0063,g9,PSCUBE history CSV status=初当り
18,12:53,0068,g5,PSCUBE history CSV status=初当り
19,12:55,0044,g8,PSCUBE history CSV status=初当り
20,13:07,0066,g3,PSCUBE history CSV status=初当り
21,13:11,0050,g5,PSCUBE history CSV status=初当り
22,13:37,0074,g2,PSCUBE history CSV status=初当り
23,13:40,0067,g4,PSCUBE history CSV status=初当り
24,13:50,0064,g1,PSCUBE history CSV status=初当り
25,13:59,0065,g2,PSCUBE history CSV status=初当り
26,14:03,0055,g1,PSCUBE history CSV status=初当り
27,14:18,0051,g6,PSCUBE history CSV status=初当り
28,14:23,0043,g7,PSCUBE history CSV status=初当り
29,14:25,0072,g9,PSCUBE history CSV status=初当り
30,14:33,0059,g5,PSCUBE history CSV status=初当り
31,14:34,0056,g2,PSCUBE history CSV status=初当り
32,14:58,0070,g7,PSCUBE history CSV status=初当り
33,15:06,0049,g4,PSCUBE history CSV status=初当り
34,15:21,0073,g1,PSCUBE history CSV status=初当り
35,15:41,0045,g9,PSCUBE history CSV status=初当り
36,15:47,0041,g5,PSCUBE history CSV status=初当り
37,16:11,0069,g6,PSCUBE history CSV status=初当り
38,16:24,0076,g4,PSCUBE history CSV status=初当り
39,16:39,0054,g9,PSCUBE history CSV status=初当り
