machine,group,initial_count,continuation_count,total_hit_count,continuation_per_initial,high,low,close
0039,g3,7,17,24,2.4286,14655,-2844,14483
0040,g4,5,12,17,2.4,9569,-2578,-2578
0041,g5,4,3,7,0.75,0,-9333,-9244
0042,g6,6,15,21,2.5,5000,-16356,4483
0043,g7,4,7,11,1.75,4310,-3200,3276
0044,g8,5,4,9,0.8,0,-8178,-8178
0045,g9,2,2,4,1.0,0,-8711,-7467
0046,g1,4,1,5,0.25,0,-11733,-11733
0047,g2,6,14,20,2.3333,6466,-5333,1293
0048,g3,4,22,26,5.5,18448,-8356,18448
0049,g4,2,1,3,0.5,0,-5689,-5689
0050,g5,6,8,14,1.3333,0,-12089,-12089
0051,g6,1,0,1,0.0,517,-15289,-15289
0052,g7,4,3,7,0.75,0,-13867,-9778
0053,g8,4,14,18,3.5,8793,-7822,8276
0054,g9,5,17,22,3.4,11901,-13787,10909
0055,g1,5,14,19,2.8,5172,-8444,5000
0056,g2,5,18,23,3.6,19138,-5156,18276
0057,g3,8,10,18,1.25,0,-19556,-8178
0058,g4,3,7,10,2.3333,9917,-12766,-12766
0059,g5,6,9,15,1.5,431,-9333,-89
0060,g6,2,0,2,0.0,0,-14400,-14400
0061,g7,5,22,27,4.4,27521,0,26777
0062,g8,4,11,15,2.75,3793,-11022,-2311
0063,g9,3,6,9,2.0,2931,-9422,-9422
0064,g1,5,17,22,3.4,20331,-511,18595
0065,g2,2,5,7,2.5,2759,-4089,-3911
0066,g3,6,15,21,2.5,14483,-6756,8276
0067,g4,8,12,20,1.5,6810,-6133,948
0068,g5,5,9,14,1.8,0,-15467,-10133
0069,g6,2,6,8,3.0,0,-12267,-6044
0070,g7,3,10,13,3.3333,1724,-10667,-4622
0071,g8,8,6,14,0.75,3621,-4978,776
0072,g9,5,11,16,2.2,6638,-8622,2241
0073,g1,1,4,5,4.0,2500,-3022,-1956
0074,g2,5,11,16,2.2,7328,-7644,4569
0075,g3,3,8,11,2.6667,6897,-6044,-2311
0076,g4,4,3,7,0.75,0,-8622,-6756
0077,g5,4,18,22,4.5,15172,-533,12414
