group,previous_wavelab_rank,previous_wavelab_score,previous_strong_group,morning_first_hit_time,morning_first_hit_machine,morning_first_hit_rank,activity_start_time,activity_start_rank,activity_start_initial,activity_start_continuation,activity_start_total,peak_initial_count,peak_continuation_count,peak_total_activity,peak_activity_rank,peak_group_delta,peak_delta_rank,final_close,final_rank
g1,2,1,False,11:47,0046,7,11:45,7,1,0,1,0,3,3,6,2662,1,9906,4
g2,8,0.25,False,12:36,0047,8,12:35,8,1,1,2,1,10,11,1,-2647,5,20227,2
g3,6,0.4,False,11:27,0057,5,11:25,5,1,0,1,3,6,9,2,-3741,7,30718,1
g4,7,0.4,False,10:22,0058,1,10:20,1,1,0,1,2,3,5,5,-1460,3,-26841,8
g5,4,0.6,False,10:59,0077,3,10:55,3,1,0,1,2,4,6,4,626,2,-19141,7
g6,1,1.5,False,10:40,0042,2,10:40,2,1,0,1,0,0,0,9,-2506,4,-31250,9
g7,3,1,False,11:19,0061,4,11:15,4,1,0,1,1,8,9,3,-3341,6,15653,3
g8,5,0.5,False,11:27,0071,6,11:25,6,1,0,1,0,1,1,8,-5327,9,-1437,5
g9,9,0.25,False,12:43,0063,9,12:40,9,1,0,1,1,1,2,7,-4361,8,-3739,6
