group,wavelab_rank,morning_rank,activity_start_rank,peak_activity_rank,peak_delta_rank,final_rank
g1,2,7,7,6,1,4
g2,8,8,8,1,5,2
g3,6,5,5,2,7,1
g4,7,1,1,5,3,8
g5,4,3,3,4,2,7
g6,1,2,2,9,4,9
g7,3,4,4,3,6,3
g8,5,6,6,8,9,5
g9,9,9,9,7,8,6
