group,machines,machine_count,initial_hit_count,unique_machines_with_initial_hit,09-12_initial_hit_count,12-15_initial_hit_count,15-18_initial_hit_count,18-close_initial_hit_count,final_total
g1,"046,055,064,073",4,15,4,1,5,5,4,9906
g2,"047,056,065,074",4,18,4,0,6,7,5,20227
g3,"039,048,057,066,075",5,28,5,3,9,7,9,30718
g4,"040,049,058,067,076",5,22,5,2,7,8,5,-26841
g5,"041,050,059,068,077",5,25,5,1,7,10,7,-19141
g6,"042,051,060,069",4,11,4,2,2,3,4,-31250
g7,"043,052,061,070",4,16,4,2,5,6,3,15653
g8,"044,053,062,071",4,21,4,1,6,8,6,-1437
g9,"045,054,063,072",4,15,4,0,4,6,5,-3739
