group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,1,0,1,0.0
g1,12-15,12:00,15:00,5,10,15,2.0
g1,15-18,15:00,18:00,5,15,20,3.0
g1,18-close,18:00,24:00,4,11,15,2.75
g2,09-12,09:00,12:00,0,0,0,
g2,12-15,12:00,15:00,6,22,28,3.6667
g2,15-18,15:00,18:00,7,22,29,3.1429
g2,18-close,18:00,24:00,5,4,9,0.8
g3,09-12,09:00,12:00,3,1,4,0.3333
g3,12-15,12:00,15:00,9,21,30,2.3333
g3,15-18,15:00,18:00,7,24,31,3.4286
g3,18-close,18:00,24:00,9,26,35,2.8889
g4,09-12,09:00,12:00,2,10,12,5.0
g4,12-15,12:00,15:00,7,9,16,1.2857
g4,15-18,15:00,18:00,8,12,20,1.5
g4,18-close,18:00,24:00,5,4,9,0.8
g5,09-12,09:00,12:00,1,4,5,4.0
g5,12-15,12:00,15:00,7,16,23,2.2857
g5,15-18,15:00,18:00,10,9,19,0.9
g5,18-close,18:00,24:00,7,18,25,2.5714
g6,09-12,09:00,12:00,2,1,3,0.5
g6,12-15,12:00,15:00,2,0,2,0.0
g6,15-18,15:00,18:00,3,1,4,0.3333
g6,18-close,18:00,24:00,4,19,23,4.75
g7,09-12,09:00,12:00,2,5,7,2.5
g7,12-15,12:00,15:00,5,15,20,3.0
g7,15-18,15:00,18:00,6,16,22,2.6667
g7,18-close,18:00,24:00,3,6,9,2.0
g8,09-12,09:00,12:00,1,0,1,0.0
g8,12-15,12:00,15:00,6,6,12,1.0
g8,15-18,15:00,18:00,8,13,21,1.625
g8,18-close,18:00,24:00,6,16,22,2.6667
g9,09-12,09:00,12:00,0,0,0,
g9,12-15,12:00,15:00,4,6,10,1.5
g9,15-18,15:00,18:00,6,12,18,2.0
g9,18-close,18:00,24:00,5,18,23,3.6
