machine,group,first_hit_time,first_hit_order,source
0039,g3,11:49,10,PSCUBE history CSV status=初当り
0040,g4,11:23,5,PSCUBE history CSV status=初当り
0041,g5,15:47,36,PSCUBE history CSV status=初当り
0042,g6,10:40,2,PSCUBE history CSV status=初当り
0043,g7,14:23,28,PSCUBE history CSV status=初当り
0044,g8,12:55,19,PSCUBE history CSV status=初当り
0045,g9,15:41,35,PSCUBE history CSV status=初当り
0046,g1,11:47,9,PSCUBE history CSV status=初当り
0047,g2,12:36,14,PSCUBE history CSV status=初当り
0048,g3,12:30,13,PSCUBE history CSV status=初当り
0049,g4,15:06,33,PSCUBE history CSV status=初当り
0050,g5,13:11,21,PSCUBE history CSV status=初当り
0051,g6,14:18,27,PSCUBE history CSV status=初当り
0052,g7,11:23,6,PSCUBE history CSV status=初当り
0053,g8,12:38,15,PSCUBE history CSV status=初当り
0054,g9,16:39,39,PSCUBE history CSV status=初当り
0055,g1,14:03,26,PSCUBE history CSV status=初当り
0056,g2,14:34,31,PSCUBE history CSV status=初当り
0057,g3,11:27,7,PSCUBE history CSV status=初当り
0058,g4,10:22,1,PSCUBE history CSV status=初当り
0059,g5,14:33,30,PSCUBE history CSV status=初当り
0060,g6,12:14,11,PSCUBE history CSV status=初当り
0061,g7,11:19,4,PSCUBE history CSV status=初当り
0062,g8,12:14,12,PSCUBE history CSV status=初当り
0063,g9,12:43,17,PSCUBE history CSV status=初当り
0064,g1,13:50,24,PSCUBE history CSV status=初当り
0065,g2,13:59,25,PSCUBE history CSV status=初当り
0066,g3,13:07,20,PSCUBE history CSV status=初当り
0067,g4,13:40,23,PSCUBE history CSV status=初当り
0068,g5,12:53,18,PSCUBE history CSV status=初当り
0069,g6,16:11,37,PSCUBE history CSV status=初当り
0070,g7,14:58,32,PSCUBE history CSV status=初当り
0071,g8,11:27,8,PSCUBE history CSV status=初当り
0072,g9,14:25,29,PSCUBE history CSV status=初当り
0073,g1,15:21,34,PSCUBE history CSV status=初当り
0074,g2,13:37,22,PSCUBE history CSV status=初当り
0075,g3,12:41,16,PSCUBE history CSV status=初当り
0076,g4,16:24,38,PSCUBE history CSV status=初当り
0077,g5,10:59,3,PSCUBE history CSV status=初当り
