label,n,bullish_rate,close_mean,close_median,high_mean,low_mean,close_ge_3000,close_ge_5000,close_ge_10000,close_ge_15000,close_ge_20000
ALL_3,60,0.7333333333333333,10331.2,10893.0,14919.7,-5338.7,0.6666666666666666,0.6166666666666667,0.5166666666666667,0.4,0.25
score=2,37,0.6486486486486487,4283.2972972972975,3448.0,10153.324324324325,-5848.0,0.5405405405405406,0.4594594594594595,0.2702702702702703,0.16216216216216217,0.10810810810810811
score=1,14,0.7142857142857143,5985.285714285715,3951.0,10782.857142857143,-4698.0,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.21428571428571427,0.07142857142857142
score=0,112,0.4107142857142857,-553.9017857142857,-2074.5,7412.142857142857,-8053.544642857143,0.32142857142857145,0.29464285714285715,0.20535714285714285,0.13392857142857142,0.0625
DOWN_DOWN_DOWN,5,0.2,-2959.8,-5297.0,5016.6,-7484.0,0.2,0.2,0.2,0.0,0.0
score>=2,97,0.7010309278350515,8024.268041237114,7414.0,13101.59793814433,-5532.969072164949,0.6185567010309279,0.5567010309278351,0.422680412371134,0.30927835051546393,0.1958762886597938
