scope,label,n,bullish_count,bullish_rate,rate_mean,rate_median,close_mean,close_median,any_close_gt_5000_rate,any_close_gt_10000_rate,rank_tie_rule
,Rank 1,60,131,2.183333333333333,0.5075,0.5,2406.5016666666666,2435.05,0.9,0.7666666666666667,"ordinal; score desc, group ID asc"
,Rank 2,60,126,2.1,0.4891666666666667,0.5,1281.455,461.375,0.85,0.6666666666666666,"ordinal; score desc, group ID asc"
,Rank 3,60,127,2.1166666666666667,0.48833333333333334,0.5,750.7358333333333,-266.75,0.8333333333333334,0.7,"ordinal; score desc, group ID asc"
,Rank 1-3,180,384,2.1333333333333333,0.495,0.5,1479.5641666666666,1220.875,0.8611111111111112,0.7111111111111111,"ordinal; score desc, group ID asc"
,Rank 4-6,180,345,1.9166666666666667,0.4338888888888889,0.5,-441.4838888888889,-1076.175,0.7944444444444444,0.6166666666666667,"ordinal; score desc, group ID asc"
,Rank 7-9,180,310,1.7222222222222223,0.4027777777777778,0.4,-1776.9511111111112,-2479.125,0.7444444444444445,0.5388888888888889,"ordinal; score desc, group ID asc"
