feature,n,bullish_count,bullish_rate,baseline,lift,wilson_low,wilson_high,feature_family,machine_consistency,machine_rates
other,237,117,0.4936708860759494,0.49166666666666664,0.002004219409282748,0.43062871350902454,0.5569149666525424,hypothesis,16,049=0.4833(n=60); 056=0.5085(n=59); 075=0.5667(n=60); 077=0.4138(n=58); 049=0.4833(n=60); 056=0.5085(n=59); 075=0.5667(n=60); 077=0.4068(n=59); 049=0.4828(n=58); 056=0.5172(n=58); 075=0.5667(n=60); 077=0.3966(n=58); 049=0.4833(n=60); 056=0.5167(n=60); 075=0.5667(n=60); 077=0.4000(n=60); 049=0.4833(n=60); 056=0.5167(n=60); 075=0.5667(n=60); 077=0.4000(n=60)
other,240,118,0.49166666666666664,0.49166666666666664,0.0,0.42904808854732723,0.5545478196160049,hypothesis,16,049=0.4833(n=60); 056=0.5085(n=59); 075=0.5667(n=60); 077=0.4138(n=58); 049=0.4833(n=60); 056=0.5085(n=59); 075=0.5667(n=60); 077=0.4068(n=59); 049=0.4828(n=58); 056=0.5172(n=58); 075=0.5667(n=60); 077=0.3966(n=58); 049=0.4833(n=60); 056=0.5167(n=60); 075=0.5667(n=60); 077=0.4000(n=60); 049=0.4833(n=60); 056=0.5167(n=60); 075=0.5667(n=60); 077=0.4000(n=60)
other,240,118,0.49166666666666664,0.49166666666666664,0.0,0.42904808854732723,0.5545478196160049,hypothesis,16,049=0.4833(n=60); 056=0.5085(n=59); 075=0.5667(n=60); 077=0.4138(n=58); 049=0.4833(n=60); 056=0.5085(n=59); 075=0.5667(n=60); 077=0.4068(n=59); 049=0.4828(n=58); 056=0.5172(n=58); 075=0.5667(n=60); 077=0.3966(n=58); 049=0.4833(n=60); 056=0.5167(n=60); 075=0.5667(n=60); 077=0.4000(n=60); 049=0.4833(n=60); 056=0.5167(n=60); 075=0.5667(n=60); 077=0.4000(n=60)
other,238,117,0.49159663865546216,0.49166666666666664,-7.002801120448154e-05,0.42872147033171826,0.5547387780291922,hypothesis,16,049=0.4833(n=60); 056=0.5085(n=59); 075=0.5667(n=60); 077=0.4138(n=58); 049=0.4833(n=60); 056=0.5085(n=59); 075=0.5667(n=60); 077=0.4068(n=59); 049=0.4828(n=58); 056=0.5172(n=58); 075=0.5667(n=60); 077=0.3966(n=58); 049=0.4833(n=60); 056=0.5167(n=60); 075=0.5667(n=60); 077=0.4000(n=60); 049=0.4833(n=60); 056=0.5167(n=60); 075=0.5667(n=60); 077=0.4000(n=60)
other,234,115,0.49145299145299143,0.49166666666666664,-0.00021367521367521292,0.42805506238599894,0.5551270218246689,hypothesis,16,049=0.4833(n=60); 056=0.5085(n=59); 075=0.5667(n=60); 077=0.4138(n=58); 049=0.4833(n=60); 056=0.5085(n=59); 075=0.5667(n=60); 077=0.4068(n=59); 049=0.4828(n=58); 056=0.5172(n=58); 075=0.5667(n=60); 077=0.3966(n=58); 049=0.4833(n=60); 056=0.5167(n=60); 075=0.5667(n=60); 077=0.4000(n=60); 049=0.4833(n=60); 056=0.5167(n=60); 075=0.5667(n=60); 077=0.4000(n=60)
DOWN-UP-UP,35,17,0.4857142857142857,0.49166666666666664,-0.005952380952380931,0.32993980391252736,0.6443146037328837,direction_pattern,1,049=0.3750(n=8); 056=0.5000(n=10); 075=0.5000(n=8); 077=0.5556(n=9)
low + STABLE,61,29,0.47540983606557374,0.49166666666666664,-0.016256830601092898,0.3553028228679598,0.5984305828468899,convergence_regime,1,049=0.5238(n=21); 056=0.4667(n=15); 075=0.5556(n=9); 077=0.3750(n=16)
prev_bullish,121,57,0.47107438016528924,0.49166666666666664,-0.0205922865013774,0.3843973889692793,0.5595315577920565,prev_bullish,0,049=0.4667(n=30); 056=0.5000(n=32); 075=0.5429(n=35); 077=0.3333(n=24)
low + INSUFFICIENT_HISTORY,66,31,0.4696969696969697,0.49166666666666664,-0.021969696969696917,0.354302309719119,0.5884252337506756,convergence_regime,2,049=0.5000(n=10); 056=0.5000(n=18); 075=0.5000(n=18); 077=0.4000(n=20)
INSUFFICIENT_HISTORY,80,37,0.4625,0.49166666666666664,-0.02916666666666662,0.3574781238878701,0.5709583563319731,regime,1,049=0.4500(n=20); 056=0.4500(n=20); 075=0.5500(n=20); 077=0.4000(n=20)
DOWN-UP-DOWN,26,12,0.46153846153846156,0.49166666666666664,-0.030128205128205077,0.28755582695234905,0.6454236379556988,direction_pattern,2,049=0.7143(n=7); 056=0.4000(n=5); 075=0.5714(n=7); 077=0.1429(n=7)
middle,33,15,0.45454545454545453,0.49166666666666664,-0.03712121212121211,0.298426891258915,0.6201434205625044,convergence_bin,2,049=0.3333(n=12); 056=0.6000(n=5); 075=0.5556(n=9); 077=0.4286(n=7)
phase_cluster=middle,33,15,0.45454545454545453,0.49166666666666664,-0.03712121212121211,0.298426891258915,0.6201434205625044,phase_cluster,2,049=0.3333(n=12); 056=0.6000(n=5); 075=0.5556(n=9); 077=0.4286(n=7)
STABLE,75,34,0.4533333333333333,0.49166666666666664,-0.03833333333333333,0.3456961212759212,0.5655182630085175,regime,0,049=0.4800(n=25); 056=0.4706(n=17); 075=0.5385(n=13); 077=0.3500(n=20)
falling,128,58,0.453125,0.49166666666666664,-0.03854166666666664,0.3695064886070455,0.5394751985084021,convergence_change,1,049=0.4375(n=32); 056=0.4516(n=31); 075=0.5758(n=33); 077=0.3438(n=32)
TOP,89,38,0.42696629213483145,0.49166666666666664,-0.06470037453183519,0.32932584473480486,0.5306507174959193,region,0,049=0.3333(n=21); 056=0.4545(n=22); 075=0.5385(n=26); 077=0.3500(n=20)
low + TOP,80,34,0.425,0.49166666666666664,-0.06666666666666665,0.32256388014807325,0.534309080291613,convergence_region,0,049=0.3684(n=19); 056=0.4000(n=20); 075=0.5417(n=24); 077=0.3529(n=17)
middle + STABLE,10,4,0.4,0.49166666666666664,-0.09166666666666662,0.16817758120350967,0.6873304525498135,convergence_regime,1,049=0.2500(n=4); 056=0.0000(n=1); 075=1.0000(n=2); 077=0.3333(n=3)
middle + RIGHT,8,3,0.375,0.49166666666666664,-0.11666666666666664,0.13684175946152105,0.6942621454161981,convergence_region,1,049=0.3333(n=3); 056=0.0000(n=2); 075=1.0000(n=2); 077=0.0000(n=1)
low + LEFT,49,18,0.3673469387755102,0.49166666666666664,-0.12431972789115642,0.24664982524781226,0.5073318861311014,convergence_region,1,049=0.5000(n=12); 056=0.3846(n=13); 075=0.4444(n=9); 077=0.2000(n=15)
LEFT + INSUFFICIENT_HISTORY,25,9,0.36,0.49166666666666664,-0.13166666666666665,0.20247656431735636,0.5548184539895337,region_regime,0,049=0.4286(n=7); 056=0.4286(n=7); 075=0.3333(n=6); 077=0.2000(n=5)
high,14,5,0.35714285714285715,0.49166666666666664,-0.1345238095238095,0.16344490737202735,0.6123599531785959,convergence_bin,1,049=0.5000(n=2); 056=0.5000(n=6); 075=0.0000(n=2); 077=0.2500(n=4)
phase_cluster=high,14,5,0.35714285714285715,0.49166666666666664,-0.1345238095238095,0.16344490737202735,0.6123599531785959,phase_cluster,1,049=0.5000(n=2); 056=0.5000(n=6); 075=0.0000(n=2); 077=0.2500(n=4)
high_convergence,14,5,0.35714285714285715,0.49166666666666664,-0.1345238095238095,0.16344490737202735,0.6123599531785959,hypothesis,1,049=0.5000(n=2); 056=0.5000(n=6); 075=0.0000(n=2); 077=0.2500(n=4)
LEFT + STABLE,23,8,0.34782608695652173,0.49166666666666664,-0.1438405797101449,0.18811054636982238,0.5511002309310836,region_regime,0,049=0.4000(n=5); 056=0.4000(n=5); 075=0.4000(n=5); 077=0.2500(n=8)
TOP + INSUFFICIENT_HISTORY,26,9,0.34615384615384615,0.49166666666666664,-0.1455128205128205,0.19412014972852126,0.5377977099036699,region_regime,1,049=0.0000(n=4); 056=0.2857(n=7); 075=0.5714(n=7); 077=0.3750(n=8)
LEFT,63,21,0.3333333333333333,0.49166666666666664,-0.15833333333333333,0.22949449812708317,0.4563298986557586,region,0,049=0.4375(n=16); 056=0.3333(n=15); 075=0.3571(n=14); 077=0.2222(n=18)
DOWN-DOWN-UP,27,9,0.3333333333333333,0.49166666666666664,-0.15833333333333333,0.1864305444359335,0.5217558012789452,direction_pattern,0,049=0.2857(n=7); 056=0.3333(n=6); 075=0.5000(n=8); 077=0.1667(n=6)
middle + LEFT,9,3,0.3333333333333333,0.49166666666666664,-0.15833333333333333,0.12058159868274293,0.6458026525009102,convergence_region,1,049=0.2500(n=4); 056=(n=0); 075=0.3333(n=3); 077=0.5000(n=2)
TOP + STABLE,25,8,0.32,0.49166666666666664,-0.17166666666666663,0.17204987516891143,0.5159008626542329,region_regime,0,049=0.4545(n=11); 056=0.4000(n=5); 075=0.2500(n=4); 077=0.0000(n=5)
DOWN-DOWN-DOWN,33,6,0.18181818181818182,0.49166666666666664,-0.3098484848484848,0.08610651225698263,0.3438856704929522,direction_pattern,1,049=0.0000(n=8); 056=0.5556(n=9); 075=0.1250(n=8); 077=0.0000(n=8)
LEFT + UNSTABLE,8,1,0.125,0.49166666666666664,-0.36666666666666664,0.02241690886329617,0.4708948057698615,region_regime,0,049=(n=0); 056=0.0000(n=3); 075=0.0000(n=2); 077=0.3333(n=3)
