scope,label,n,bullish_count,bullish_rate,close_mean,close_median,close_min,close_max,high_mean,low_mean
All39,score0,1659,618,0.37251356238698013,-2377.051838456902,-3822.0,-39438.0,58125.0,5812.842676311031,-8847.77938517179
All39,score1,166,105,0.6325301204819277,4726.873493975903,4051.5,-28085.0,40365.0,10776.819277108434,-6582.174698795181
All39,score2,412,239,0.5800970873786407,3611.5679611650485,2995.5,-29872.0,53438.0,9603.917475728156,-6512.655339805825
All39,score3,103,77,0.7475728155339806,10902.233009708738,12402.0,-21702.0,47135.0,15390.252427184467,-5119.320388349514
