scope,label,n,bullish_count,bullish_rate,close_mean,close_median,close_min,close_max,high_mean,low_mean
Original4,ANY_SIGNAL,77,52,0.6753246753246753,7218.0,5690.0,-18133.0,40365.0,12371.727272727272,-5550.428571428572
Original4,NO_SIGNAL,163,66,0.4049079754601227,-1967.5828220858896,-2489.0,-39438.0,23846.0,5858.766871165644,-8528.374233128834
Holdout35,ANY_SIGNAL,604,369,0.6109271523178808,4701.60761589404,3621.0,-29872.0,53438.0,10560.163907284768,-6416.824503311258
Holdout35,NO_SIGNAL,1496,552,0.3689839572192513,-2421.6664438502676,-3937.0,-38442.0,58125.0,5807.838903743315,-8882.58088235294
All39,ANY_SIGNAL,681,421,0.618208516886931,4986.1336270190895,3793.0,-29872.0,53438.0,10764.995594713657,-6318.861967694566
All39,NO_SIGNAL,1659,618,0.37251356238698013,-2377.051838456902,-3822.0,-39438.0,58125.0,5812.842676311031,-8847.77938517179
