period,condition,n,bullish_rate,strong5000,strong10000
first_half,ALL_3,33,0.7272727272727273,0.5454545454545454,0.42424242424242425
first_half,score>=2,55,0.6727272727272727,0.5272727272727272,0.36363636363636365
second_half,ALL_3,27,0.7407407407407407,0.7037037037037037,0.6296296296296297
second_half,score>=2,42,0.7380952380952381,0.5952380952380952,0.5
