date,machine,long_phase,mid_phase,short_phase,long_x,long_y,mid_x,mid_y,short_x,short_y,distance_long_mid,distance_mid_short,distance_short_long,mean_pair_distance,max_pair_distance,min_pair_distance,convergence_score,phase_convergence,centroid_x,centroid_y,centroid_region,bullish,next_day_bullish,wave_direction_pattern,target_date,next_close,next_open,next_high,next_low,prev_open,prev_high,prev_low,prev_close,prev_range,prev_close_low,prev_high_close,prev_bullish,convergence_delta,convergence_change,convergence_bin,convergence_0_7_plus,convergence_0_8_plus,high_falling,high_rising,phase_cluster,regime,region,close_gt_3000,close_gt_5000,close_gt_10000,close_lt_minus3000,close_lt_minus5000,close_lt_minus10000,abs_close_gt_5000,abs_close_gt_10000
2026-06-27,049,317.6796979672181,245.3345200089885,319.5605707909265,263.41463959657244,230.1781766942807,216.98095232183306,151.87608700308218,265.2034685216058,230.82882620905139,91.03463387050442,92.5145723481611,1.9034846240795942,61.81756361424837,92.5145723481611,1.9034846240795942,0.5794792165992677,True,248.53302014667042,204.2943633021381,LEFT,False,False,UP-DOWN-UP,2026-06-28,-16347.0,0.0,1190.0,-16347.0,0.0,8902.0,-14938.0,6585.0,23840.0,21523.0,2317.0,True,,flat_or_unknown,middle,False,False,False,False,middle,INSUFFICIENT_HISTORY,LEFT,False,False,False,True,True,True,True,True
2026-06-28,049,109.55469796721803,42.83452000898848,49.56057079092648,383.5939953982403,160.30797207087903,337.07658148256417,229.9907085724173,343.56749855715145,227.1305760106013,83.78277605656876,7.093120804013494,77.89339411435785,56.25643032498004,83.78277605656876,7.093120804013494,0.6191691997428692,True,354.74602514598536,205.80975221796587,RIGHT,True,True,DOWN-UP-UP,2026-06-29,34429.0,0.0,38329.0,0.0,0.0,1190.0,-16347.0,-16347.0,17537.0,0.0,17537.0,False,0.039689983143601504,rising,middle,False,False,False,False,middle,INSUFFICIENT_HISTORY,RIGHT,True,True,True,False,False,False,True,True
2026-06-29,049,261.4296979672182,200.33452000898842,139.56057079092653,218.15548543332665,177.66557006648185,262.46793052410976,88.72519486011626,366.39190366250114,112.09845691064135,99.36791802072115,106.51995856059844,162.0897344590506,122.65920368012338,162.0897344590506,99.36791802072115,0.26322847973158825,False,282.33843987331255,126.16307394574649,TOP,False,False,DOWN-DOWN-DOWN,2026-06-30,-9511.0,0.0,862.0,-9511.0,0.0,38329.0,0.0,34429.0,38329.0,34429.0,3900.0,True,-0.35594072001128096,falling,low,False,False,False,False,low,INSUFFICIENT_HISTORY,TOP,False,False,False,True,True,False,True,False
2026-06-30,049,53.30469796721809,357.83452000898853,229.56057079092648,347.2099108332245,225.1831617653013,298.2609916180294,235.98998576555977,224.83712925874147,125.94214086970592,50.127678355458094,132.2935815902554,157.55595164472885,113.3257371968141,157.55595164472885,50.127678355458094,0.2838365834330506,False,290.1026772366651,195.70509613352235,LEFT,False,False,UP-UP-DOWN,2026-07-01,-7111.0,0.0,0.0,-8356.0,0.0,862.0,-9511.0,-9511.0,10373.0,0.0,10373.0,False,0.020608103701462377,rising,low,False,False,False,False,low,INSUFFICIENT_HISTORY,LEFT,False,False,False,True,True,False,True,False
2026-07-01,049,205.1796979672181,155.33452000898853,319.5605707909265,254.49324406362965,93.20420855287884,344.6867167929072,92.68971938134905,265.2034685216059,230.82882620905139,90.19494011348172,159.3737732216712,138.04073417998006,129.20314917171098,159.3737732216712,90.19494011348172,0.27557375808331275,False,288.12780979271423,138.90758471442643,TOP,False,False,DOWN-DOWN-UP,2026-07-02,-14400.0,0.0,0.0,-14400.0,0.0,0.0,-8356.0,-7111.0,8356.0,1245.0,7111.0,False,-0.008262825349737879,falling,low,False,False,False,False,low,INSUFFICIENT_HISTORY,TOP,False,False,False,True,True,True,True,True
2026-07-02,049,357.0546979672181,312.83452000898865,49.56057079092648,297.6342292884947,235.98145076021396,258.7553222190565,228.23917382454192,343.56749855715145,227.13057601060126,39.642304007999456,84.81942138636167,46.778234356805946,57.07998658372236,84.81942138636167,39.642304007999456,0.6144571755165379,True,299.98568335490086,230.45040019845237,BOTTOM,True,True,UP-UP-UP,2026-07-03,13621.0,0.0,13966.0,-9778.0,0.0,0.0,-14400.0,-14400.0,14400.0,0.0,14400.0,False,0.33888341743322514,rising,middle,False,False,False,False,middle,INSUFFICIENT_HISTORY,BOTTOM,True,True,True,False,False,False,True,True
2026-07-03,049,148.9296979672181,110.33452000898842,139.56057079092648,354.4005280551576,99.71343886175642,383.56603808036766,159.03073432009916,366.39190366250125,112.09845691064139,66.09968619836978,49.975889745368654,17.23896055531198,44.4381788330168,66.09968619836978,17.23896055531198,0.699546880916501,True,368.11948993267555,123.61421003083233,RIGHT,False,False,DOWN-DOWN-DOWN,2026-07-04,-15111.0,0.0,0.0,-15111.0,0.0,13966.0,-9778.0,13621.0,23744.0,23399.0,345.0,True,0.08508970539996308,rising,middle,False,False,False,False,middle,INSUFFICIENT_HISTORY,RIGHT,False,False,False,True,True,True,True,True
2026-07-04,049,300.8046979672181,267.8345200089884,229.56057079092648,247.0800280293153,221.55251608369062,220.84742189246248,187.00702240950295,224.83712925874147,125.94214086970591,43.37673060437575,61.195077598921195,98.16358996225095,67.57846605518263,98.16358996225095,43.37673060437575,0.5538018638079503,True,230.9215263935064,178.16722645429982,LEFT,True,True,UP-DOWN-DOWN,2026-07-05,2586.0,0.0,10517.0,-533.0,0.0,0.0,-15111.0,-15111.0,15111.0,0.0,15111.0,False,-0.1457450171085507,falling,middle,False,False,False,False,middle,INSUFFICIENT_HISTORY,LEFT,False,False,False,False,False,False,False,False
2026-07-05,049,92.67969796721809,65.33452000898842,319.5605707909265,379.40915146228735,186.2833592118953,358.74747682266144,216.97794973339126,265.2034685216058,230.82882620905139,37.000847101060685,94.5638845869392,122.58562985090136,84.71678717963374,122.58562985090136,37.000847101060685,0.44279259158681206,False,334.4533656021849,211.36337838477934,RIGHT,True,True,UP-UP-UP,2026-07-06,2759.0,0.0,10345.0,-2311.0,0.0,10517.0,-533.0,2586.0,11050.0,3119.0,7931.0,True,-0.11100927222113821,falling,low,False,False,False,False,low,INSUFFICIENT_HISTORY,RIGHT,False,False,False,False,False,False,False,False
2026-07-06,049,244.5546979672181,222.83452000898842,49.56057079092648,217.15123501119308,150.5802083600476,231.01479538398456,115.59272987707864,343.56749855715145,227.13057601060126,37.63405315410832,158.45757196073774,147.7871120103378,114.62624570839462,158.45757196073774,37.63405315410832,0.27973830926937393,False,263.91117631744305,164.4345047492425,LEFT,True,True,DOWN-DOWN-UP,2026-07-07,5690.0,0.0,10690.0,-2311.0,0.0,10345.0,-2311.0,2759.0,12656.0,5070.0,7586.0,True,-0.16305428231743813,falling,low,False,False,False,False,low,INSUFFICIENT_HISTORY,LEFT,True,True,False,False,False,False,True,False
2026-07-07,049,36.42969796721809,20.33452000898842,139.56057079092648,331.02985807969384,232.04223455286078,316.6780327394169,235.00323428437827,366.3919036625012,112.0984569106414,14.654091920274764,132.57847963921185,125.04792706353317,90.76016620767325,132.57847963921185,14.654091920274764,0.3973705470944916,False,338.033264827204,193.04797524929347,RIGHT,True,True,UP-UP-DOWN,2026-07-08,35128.0,0.0,37179.0,-5714.0,0.0,10690.0,-2311.0,5690.0,13001.0,8001.0,5000.0,True,0.11763223782511767,rising,low,False,False,False,False,low,INSUFFICIENT_HISTORY,RIGHT,True,True,True,False,False,False,True,True
2026-07-08,049,188.3046979672181,177.8345200089882,229.56057079092648,284.16035943706146,81.48550057325583,304.1555699324752,80.10139110098893,224.83712925874147,125.94214086970591,20.043058693401136,91.61216824347485,74.13257384738428,61.929266928086754,91.61216824347485,20.043058693401136,0.5835810534387507,True,271.0510195427594,95.84301084798356,TOP,False,False,DOWN-DOWN-DOWN,2026-07-09,-8356.0,0.0,0.0,-8356.0,0.0,37179.0,-5714.0,35128.0,42893.0,40842.0,2051.0,True,0.18621050634425906,rising,middle,False,False,False,False,middle,INSUFFICIENT_HISTORY,TOP,False,False,False,True,True,False,True,False
2026-07-09,049,340.1796979672181,335.3345200089884,319.5605707909265,283.7599574903243,235.05835205769523,279.58485406259814,234.4562438821775,265.2034685216058,230.82882620905139,4.218296206673524,14.83180397166745,19.03239795061352,12.694166042984833,19.03239795061352,4.218296206673524,0.913489100224484,True,276.18276002484276,233.4478073829747,BOTTOM,False,False,UP-UP-UP,2026-07-10,-444.0,0.0,9052.0,-444.0,0.0,0.0,-8356.0,-8356.0,8356.0,0.0,8356.0,False,0.3299080467857334,rising,high,True,True,False,True,high,INSUFFICIENT_HISTORY,BOTTOM,False,False,False,False,False,False,False,False
2026-07-10,049,132.05469796721854,132.83452000898887,49.560570790926704,373.83095877797336,123.39456999337214,373.1533009143945,122.17738772596165,343.5674985571516,227.13057601060115,1.3931090596822744,109.04352998794943,108.06033485485705,72.83232463416292,109.04352998794943,1.3931090596822744,0.5043475909638662,False,363.5172527498398,157.56751124331166,RIGHT,False,False,DOWN-DOWN-UP,2026-07-11,-7467.0,0.0,0.0,-10667.0,0.0,9052.0,-444.0,-444.0,9496.0,0.0,9496.0,False,-0.4091415092606179,falling,middle,False,False,False,False,middle,INSUFFICIENT_HISTORY,RIGHT,False,False,False,True,True,False,True,False
2026-07-11,049,283.9296979672181,290.3345200089884,139.56057079092648,231.7706912268098,206.92258269566773,237.28799865610563,213.2408365354063,366.3919036625012,112.0984569106414,8.38814716446571,164.00487567161065,164.66476753862693,112.35259679156776,164.66476753862693,8.38814716446571,0.25152378391533214,False,278.4835311818055,177.4206253805718,LEFT,True,True,DOWN-UP-DOWN,2026-07-12,19835.0,0.0,22810.0,-2298.0,0.0,0.0,-10667.0,-7467.0,10667.0,3200.0,7467.0,False,-0.252823807048534,falling,low,False,False,False,False,low,INSUFFICIENT_HISTORY,LEFT,True,True,True,False,False,False,True,True
