scope,signal,low_band,sample_type,n,bullish_count,bullish_rate,non_bullish_count,non_bullish_rate,next_close_mean,next_close_median,next_close_min,next_close_max,next_high_mean,next_high_median,next_high_min,next_high_max,next_low_mean,next_low_median,next_low_min,next_low_max,intraday_range_mean,intraday_range_median,intraday_range_min,intraday_range_max,rebound_from_low_mean,rebound_from_low_median,rebound_from_low_min,rebound_from_low_max,bullish_rate_difference,close_mean_difference
Original4,LOW_CONVERGENCE_RIGHT,GROUP_2: Low < -5000,wall_group,23,11,0.4782608695652174,12,0.5217391304347826,978.304347826087,-444.0,-18133.0,35128.0,7461.173913043478,3362.0,0.0,37179.0,-9107.652173913044,-8000.0,-18133.0,-5714.0,16568.82608695652,14509.0,8178.0,42893.0,10085.95652173913,7881.0,0.0,40842.0,,
Original4,DOWN_DOWN_DOWN,A: Low >= -3000,all_signal,2,1,0.5,1,0.5,-1119.5,-1119.5,-2756.0,517.0,1293.0,1293.0,0.0,2586.0,-1911.5,-1911.5,-2756.0,-1067.0,3204.5,3204.5,2756.0,3653.0,792.0,792.0,0.0,1584.0,,
Original4,DOWN_DOWN_DOWN,B: -5000 <= Low < -3000,all_signal,6,3,0.5,3,0.5,99.5,294.0,-4800.0,3017.0,3362.1666666666665,3103.5,0.0,6983.0,-4207.333333333333,-4666.5,-4800.0,-3111.0,7569.5,7791.5,4533.0,11783.0,4306.833333333333,4762.5,0.0,7817.0,,
Original4,DOWN_DOWN_DOWN,C: -10000 <= Low < -5000,all_signal,12,1,0.08333333333333333,11,0.9166666666666666,-5843.5,-6888.5,-9511.0,4655.0,3556.1666666666665,1336.0,0.0,15345.0,-7230.916666666667,-6933.0,-9511.0,-5333.0,10787.083333333334,9083.0,6109.0,22278.0,1387.4166666666667,0.0,0.0,12388.0,,
Original4,DOWN_DOWN_DOWN,D: Low < -10000,all_signal,13,1,0.07692307692307693,12,0.9230769230769231,-10676.307692307691,-12622.0,-26043.0,13054.0,1460.8461538461538,0.0,0.0,13054.0,-14499.461538461539,-12622.0,-26043.0,-10044.0,15960.307692307691,15111.0,10263.0,26291.0,3823.153846153846,356.0,0.0,23642.0,,
Original4,DOWN_DOWN_DOWN,GROUP_1: Low >= -5000,wall_group,8,4,0.5,4,0.5,-205.25,-8.0,-4800.0,3017.0,2844.875,2586.0,0.0,6983.0,-3633.375,-3866.5,-4800.0,-1067.0,6478.25,6241.5,2756.0,11783.0,3428.125,3289.0,0.0,7817.0,,
Original4,DOWN_DOWN_DOWN,GROUP_2: Low < -5000,wall_group,25,2,0.08,23,0.92,-8356.56,-7467.0,-26043.0,13054.0,2466.6,776.0,0.0,15345.0,-11010.56,-10044.0,-26043.0,-5333.0,13477.16,12267.0,6109.0,26291.0,2654.0,0.0,0.0,23642.0,,
Holdout35,UP_UP_UP,A: Low >= -3000,all_signal,102,94,0.9215686274509803,8,0.0784313725490196,15760.43137254902,14741.5,-1956.0,45561.0,19624.441176470587,19310.5,3319.0,46214.0,-1263.9313725490197,-1277.0,-2857.0,0.0,20888.37254901961,20811.0,5842.0,46476.0,17024.36274509804,17021.0,0.0,45823.0,,
Holdout35,UP_UP_UP,B: -5000 <= Low < -3000,all_signal,44,36,0.8181818181818182,8,0.18181818181818182,8849.681818181818,7414.0,-4978.0,31538.0,12879.022727272728,12241.0,690.0,31538.0,-4080.931818181818,-4133.5,-4978.0,-3013.0,16959.954545454544,15802.5,5490.0,36473.0,12930.613636363636,10969.5,0.0,36473.0,,
Holdout35,UP_UP_UP,C: -10000 <= Low < -5000,all_signal,78,49,0.6282051282051282,29,0.3717948717948718,5479.384615384615,3536.0,-9956.0,26033.0,9648.884615384615,7371.0,0.0,27273.0,-7071.358974358975,-6666.0,-9956.0,-5067.0,16720.24358974359,14668.0,5511.0,34459.0,12550.74358974359,10525.5,0.0,33722.0,,
