group,n,all3_n,all3_strong5000,all3_strong10000,all3_close_mean
g1,20,7,0.7142857142857143,0.42857142857142855,11574.285714285714
g2,24,6,0.6666666666666666,0.6666666666666666,9263.5
g3,25,6,0.16666666666666666,0.16666666666666666,2977.1666666666665
g4,35,9,0.4444444444444444,0.4444444444444444,11975.666666666666
g5,35,7,0.8571428571428571,0.8571428571428571,14668.714285714286
g6,28,8,0.75,0.625,13668.875
g7,16,6,0.6666666666666666,0.5,9176.666666666666
g8,24,7,0.42857142857142855,0.2857142857142857,2221.5714285714284
g9,16,4,1.0,0.75,18746.0
