group,days,all39_bullish_rate_mean,all39_bullish_rate_median,all39_close_mean
0-2,9,0.4188034188034188,0.41025641025641024,-540.008547008547
3-4,18,0.4358974358974359,0.4358974358974359,-455.2350427350427
5-6,15,0.4478632478632479,0.46153846153846156,-615.3350427350427
7-9,14,0.45604395604395603,0.46153846153846156,270.6758241758241
10+,4,0.4807692307692307,0.48717948717948717,1111.0769230769229
