scope,signal,low_band,sample_type,n,bullish_count,bullish_rate,non_bullish_count,non_bullish_rate,next_close_mean,next_close_median,next_close_min,next_close_max,next_high_mean,next_high_median,next_high_min,next_high_max,next_low_mean,next_low_median,next_low_min,next_low_max,intraday_range_mean,intraday_range_median,intraday_range_min,intraday_range_max,rebound_from_low_mean,rebound_from_low_median,rebound_from_low_min,rebound_from_low_max,machine
All39,DOWN_DOWN_DOWN,GROUP_1: Low >= -5000,machine_wall,2,1,0.5,1,0.5,-316.5,-316.5,-978.0,345.0,5948.5,5948.5,0.0,11897.0,-1289.0,-1289.0,-1600.0,-978.0,7237.5,7237.5,978.0,13497.0,972.5,972.5,0.0,1945.0,042
All39,DOWN_DOWN_DOWN,GROUP_2: Low < -5000,machine_wall,5,2,0.4,3,0.6,-4855.0,-9333.0,-15822.0,11034.0,3000.0,0.0,0.0,11207.0,-10168.6,-9333.0,-15822.0,-6044.0,13168.6,12593.0,9333.0,17251.0,5313.6,0.0,0.0,17078.0,042
All39,UP_UP_UP,GROUP_1: Low >= -5000,machine_wall,5,4,0.8,1,0.2,15606.2,21322.0,-4622.0,29770.0,21302.6,25785.0,10862.0,31344.0,-1745.8,-1422.0,-4622.0,-132.0,23048.4,26536.0,13663.0,31476.0,17352.0,23620.0,0.0,29902.0,043
All39,UP_UP_UP,GROUP_2: Low < -5000,machine_wall,4,0,0.0,4,1.0,-7291.25,-7782.5,-12089.0,-1511.0,4300.0,3534.5,0.0,10131.0,-9091.25,-9155.5,-12089.0,-5965.0,13391.25,13934.5,9600.0,16096.0,1800.0,0.0,0.0,7200.0,043
All39,RIGHT,GROUP_1: Low >= -5000,machine_wall,5,4,0.8,1,0.2,13681.2,18843.0,-4622.0,21322.0,19936.2,21322.0,10862.0,25785.0,-3060.6,-3022.0,-4622.0,-1787.0,22996.8,24896.0,15484.0,28083.0,16741.8,20630.0,0.0,23620.0,043
All39,RIGHT,GROUP_2: Low < -5000,machine_wall,9,2,0.2222222222222222,7,0.7777777777777778,-4748.777777777777,-5965.0,-22213.0,18103.0,4586.555555555556,2479.0,0.0,18448.0,-9802.666666666666,-8711.0,-22213.0,-5913.0,14389.222222222223,11200.0,8083.0,27159.0,5053.888888888889,0.0,0.0,26814.0,043
All39,LOW_CONVERGENCE_RIGHT,GROUP_1: Low >= -5000,machine_wall,4,3,0.75,1,0.25,12390.75,16431.5,-4622.0,21322.0,18845.75,19368.0,10862.0,25785.0,-3379.0,-3298.0,-4622.0,-2298.0,22224.75,22666.0,15484.0,28083.0,15769.75,19729.5,0.0,23620.0,043
All39,LOW_CONVERGENCE_RIGHT,GROUP_2: Low < -5000,machine_wall,7,1,0.14285714285714285,6,0.8571428571428571,-7320.285714285715,-5965.0,-22213.0,2155.0,3261.5714285714284,2479.0,0.0,10131.0,-9987.57142857143,-7911.0,-22213.0,-5913.0,13249.142857142857,11200.0,8083.0,24692.0,2667.285714285714,0.0,0.0,8377.0,043
All39,DOWN_DOWN_DOWN,GROUP_1: Low >= -5000,machine_wall,1,0,0.0,1,1.0,-4178.0,-4178.0,-4178.0,-4178.0,0.0,0.0,0.0,0.0,-4178.0,-4178.0,-4178.0,-4178.0,4178.0,4178.0,4178.0,4178.0,0.0,0.0,0.0,0.0,043
All39,DOWN_DOWN_DOWN,GROUP_2: Low < -5000,machine_wall,7,0,0.0,7,1.0,-15038.857142857143,-12806.0,-25021.0,-8356.0,532.2857142857143,0.0,0.0,3123.0,-16207.142857142857,-17067.0,-25021.0,-8533.0,16739.428571428572,17067.0,8797.0,25021.0,1168.2857142857142,0.0,0.0,7823.0,043
All39,UP_UP_UP,GROUP_1: Low >= -5000,machine_wall,3,2,0.6666666666666666,1,0.3333333333333333,13120.0,14655.0,-88.0,24793.0,18866.0,15690.0,15371.0,25537.0,-1795.3333333333333,-2489.0,-2809.0,-88.0,20661.333333333332,18179.0,15459.0,28346.0,14915.333333333334,17144.0,0.0,27602.0,044
All39,UP_UP_UP,GROUP_2: Low < -5000,machine_wall,5,2,0.4,3,0.6,-2665.6,-5333.0,-11375.0,13793.0,4500.0,1810.0,0.0,15345.0,-9090.6,-10844.0,-11676.0,-5689.0,13590.6,11676.0,8032.0,21034.0,6425.0,5689.0,0.0,19482.0,044
