scope,signal,sample_type,n,next_open_min,next_open_max,next_open_mean,next_open_median,next_open_std,next_open_p25,next_open_p75,next_high_min,next_high_max,next_high_mean,next_high_median,next_high_std,next_high_p25,next_high_p75,next_low_min,next_low_max,next_low_mean,next_low_median,next_low_std,next_low_p25,next_low_p75,next_close_min,next_close_max,next_close_mean,next_close_median,next_close_std,next_close_p25,next_close_p75,intraday_range_min,intraday_range_max,intraday_range_mean,intraday_range_median,intraday_range_std,intraday_range_p25,intraday_range_p75
Holdout35,low_convergence + RIGHT,bullish_only,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,53438.0,15747.203703703704,14052.0,9457.169414526526,8577.75,21136.0,-18018.0,0.0,-3922.7175925925926,-3055.5,3514.9907431636675,-5711.25,-1007.0,86.0,53438.0,12631.902777777777,10000.0,9925.484473433242,4962.0,18099.0,5581.0,58975.0,19669.921296296296,18235.5,8970.137295794575,12575.5,25320.0
Holdout35,UP-UP-UP + RIGHT,bullish_only,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2241.0,47396.0,17576.8125,17241.5,9167.531689154586,11081.75,23889.75,-14298.0,0.0,-3977.2421875,-2939.5,3543.163253156868,-5880.5,-1136.0,86.0,47135.0,15096.109375,14584.0,9818.182586152569,7307.25,22314.0,8017.0,58975.0,21554.0546875,20764.5,8558.171736383109,15156.25,27148.5
Holdout35,UP-UP-UP + low_convergence + RIGHT,bullish_only,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2241.0,47396.0,18928.253731343284,18952.0,10005.455182266418,11735.0,25341.0,-14298.0,0.0,-3810.3432835820895,-2553.0,3552.300929752769,-5805.0,-834.0,86.0,47135.0,16501.880597014926,16379.0,10789.767305214624,8276.0,23599.0,8698.0,58975.0,22738.597014925374,22111.0,9370.741979386337,15902.5,28210.5
Holdout35,3 signals all true,bullish_only,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2241.0,47396.0,18928.253731343284,18952.0,10005.455182266418,11735.0,25341.0,-14298.0,0.0,-3810.3432835820895,-2553.0,3552.300929752769,-5805.0,-834.0,86.0,47135.0,16501.880597014926,16379.0,10789.767305214624,8276.0,23599.0,8698.0,58975.0,22738.597014925374,22111.0,9370.741979386337,15902.5,28210.5
Holdout35,score=1,bullish_only,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379.0,36667.0,15319.315217391304,14741.5,7769.543340038263,10301.75,20526.0,-19556.0,0.0,-4035.0434782608695,-3574.0,3300.915323983765,-5867.0,-1583.0,86.0,36154.0,11896.83695652174,10948.0,8364.789434995122,4612.0,17107.75,8032.0,36667.0,19354.358695652172,19002.5,6952.8253670151435,13792.75,24441.5
Holdout35,score=2,bullish_only,210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,53438.0,14832.580952380953,13448.0,8635.401934477073,8621.0,19396.75,-18018.0,0.0,-4027.657142857143,-3114.0,3514.431488265817,-5755.75,-1252.25,345.0,53438.0,11664.480952380953,9396.5,8920.07984934968,4719.75,16853.75,5581.0,55333.0,18860.238095238095,17529.0,8203.524597308007,12697.75,22867.0
Holdout35,score=3,bullish_only,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2241.0,47396.0,18928.253731343284,18952.0,10005.455182266418,11735.0,25341.0,-14298.0,0.0,-3810.3432835820895,-2553.0,3552.300929752769,-5805.0,-834.0,86.0,47135.0,16501.880597014926,16379.0,10789.767305214624,8276.0,23599.0,8698.0,58975.0,22738.597014925374,22111.0,9370.741979386337,15902.5,28210.5
All39,UP-UP-UP only,bullish_only,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379.0,41406.0,16025.552631578947,15862.0,8279.010598527237,11724.0,19982.75,-12089.0,0.0,-3886.7105263157896,-3511.5,3101.363798141239,-5872.0,-1385.75,172.0,40365.0,12748.618421052632,11724.5,9177.021447023146,5258.5,17857.25,8032.0,43248.0,19912.263157894737,19401.0,7570.309419248192,14475.0,24441.5
All39,RIGHT only,bullish_only,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2069.0,38329.0,15155.724137931034,13448.0,8148.738753839463,10000.0,21322.0,-19556.0,0.0,-4176.0344827586205,-3574.0,3765.0128958492733,-4800.0,-2018.0,86.0,34429.0,11336.724137931034,11034.0,7850.2861408111,4655.0,16860.0,8647.0,38329.0,19331.758620689656,18388.0,6951.707881907111,14089.0,24364.0
All39,low_convergence + RIGHT,bullish_only,253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,53438.0,15809.841897233202,13793.0,9325.872237957898,8707.0,21322.0,-18018.0,0.0,-3922.8339920948615,-3117.0,3430.962248192552,-5778.0,-1067.0,86.0,53438.0,12687.616600790514,10000.0,9871.510985364286,5000.0,18099.0,5581.0,58975.0,19732.675889328064,18141.0,8855.94842720581,12712.0,25278.0
All39,UP-UP-UP + RIGHT,bullish_only,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2241.0,47396.0,17970.135714285716,17672.5,9312.72739162152,11207.0,24298.0,-14298.0,0.0,-4050.0785714285716,-3022.0,3519.715403120254,-6038.5,-1168.0,86.0,47135.0,15481.35,14655.0,10034.263182955694,7432.0,22810.0,8017.0,58975.0,22020.214285714286,21437.0,8783.405443037049,15171.25,27603.25
All39,UP-UP-UP + low_convergence + RIGHT,bullish_only,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2241.0,47396.0,19357.81818181818,18966.0,9764.241781714049,12586.0,25393.0,-14298.0,0.0,-3855.7402597402597,-2857.0,3491.789099567416,-5921.0,-889.0,86.0,47135.0,16903.376623376622,16379.0,10640.158485957267,8848.0,23644.0,8698.0,58975.0,23213.55844155844,23313.0,9181.416578143488,16460.0,28360.0
All39,3 signals all true,bullish_only,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2241.0,47396.0,19357.81818181818,18966.0,9764.241781714049,12586.0,25393.0,-14298.0,0.0,-3855.7402597402597,-2857.0,3491.789099567416,-5921.0,-889.0,86.0,47135.0,16903.376623376622,16379.0,10640.158485957267,8848.0,23644.0,8698.0,58975.0,23213.55844155844,23313.0,9181.416578143488,16460.0,28360.0
All39,score=1,bullish_only,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379.0,41406.0,15785.314285714287,15172.0,8213.372700750197,11034.0,20826.0,-19556.0,0.0,-3966.6190476190477,-3556.0,3281.7244569238537,-5867.0,-1532.0,86.0,40365.0,12358.666666666666,11552.0,8816.357370368518,4655.0,17851.0,8032.0,43248.0,19751.933333333334,19008.0,7376.174696885531,14089.0,24437.0
All39,score=2,bullish_only,239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,53438.0,14789.142259414226,13276.0,8683.511725035954,8621.0,19310.5,-18018.0,0.0,-4040.602510460251,-3289.0,3450.362597702439,-5867.0,-1340.5,259.0,53438.0,11607.682008368201,9258.0,9033.222985839651,4655.0,16724.0,5581.0,55333.0,18829.744769874476,17386.0,8287.342284500275,12742.0,22835.5
All39,score=3,bullish_only,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2241.0,47396.0,19357.81818181818,18966.0,9764.241781714049,12586.0,25393.0,-14298.0,0.0,-3855.7402597402597,-2857.0,3491.789099567416,-5921.0,-889.0,86.0,47135.0,16903.376623376622,16379.0,10640.158485957267,8848.0,23644.0,8698.0,58975.0,23213.55844155844,23313.0,9181.416578143488,16460.0,28360.0
