label,n,close_rank1_rate,close_top2_rate,close_top3_rate
score3,60,0.45,0.65,0.8166666666666667
score2,37,0.16216216216216217,0.5675675675675675,0.7567567567567568
score1,14,0.21428571428571427,0.6428571428571429,0.7857142857142857
score0,112,0.13392857142857142,0.29464285714285715,0.5803571428571429
