metric,pearson,spearman
UP_UP_UP_count,0.24212966840003974,0.25969390846213386
RIGHT_count,0.12631580921883323,0.15957464079746145
LOW_CONVERGENCE_RIGHT_count,0.03286883403688222,0.05068673074636472
ANY_SIGNAL_count,0.17503915940810968,0.20701920771111193
ALL_3_count,0.1167969047422828,0.14373678776160792
SCORE_2_count,0.05421575754243705,0.07528763454743334
SCORE_3_count,0.1167969047422828,0.14373678776160792
direction_balance,0.37515601677287,0.34108502118309253
DOWN_DOWN_DOWN_count,-0.2929754506355095,-0.25571134284205754
