group,machine_count,days,baseline_bullish_rate,baseline_close_mean,signal_active_days,signal_active_bullish_rate,signal_active_close_mean,rank1_days,rank1_bullish_rate,rank1_close_mean
g1,4,60,0.36666666666666664,-1512.3708333333334,48,0.3854166666666667,-732.2708333333334,12,0.5,1377.1666666666667
g2,4,60,0.42083333333333334,-1158.1083333333333,43,0.436046511627907,-825.0058139534884,10,0.425,464.675
g3,5,60,0.45,-67.86333333333334,51,0.4470588235294118,-5.854901960784351,9,0.5111111111111111,4393.777777777777
g4,5,60,0.41000000000000003,-681.53,52,0.4230769230769231,-178.91923076923078,3,0.5333333333333333,362.3999999999999
g5,5,60,0.4766666666666667,482.97666666666663,51,0.4980392156862745,1148.5411764705882,5,0.6,4564.68
g6,4,60,0.5041666666666667,-137.60416666666666,42,0.5357142857142857,1236.8511904761904,6,0.625,5742.291666666667
g7,4,60,0.43333333333333335,101.52083333333333,44,0.42613636363636365,644.7045454545455,5,0.35,375.6
g8,4,60,0.4791666666666667,554.6708333333333,43,0.48255813953488375,1148.2906976744187,4,0.5,3341.125
g9,4,60,0.45416666666666666,201.69583333333333,45,0.4444444444444444,73.11111111111111,6,0.5833333333333334,1677.75
