condition,n,strong3000_rate,strong5000_rate,strong10000_rate,strong15000_rate,strong20000_rate,very_high_rate,next_bullish_rate,next_close_mean,next_max_close_mean,next_max_close_median,avg_bullish_machine_count,avg_close_gt5000_count,avg_close_gt10000_count
A only,74,0.8513513513513513,0.7837837837837838,0.5945945945945946,0.3918918918918919,0.2702702702702703,0.33783783783783783,0.45675675675675675,458.33513513513515,13905.432432432432,12586.5,1.9594594594594594,1.3918918918918919,0.8108108108108109
B only,14,0.8571428571428571,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.5,0.7142857142857143,0.375,-352.7035714285715,18750.785714285714,19835.0,1.7857142857142858,1.2857142857142858,0.9285714285714286
C only,57,0.8421052631578947,0.8070175438596491,0.6842105263157895,0.49122807017543857,0.2631578947368421,0.43859649122807015,0.4359649122807018,-21.37456140350876,14098.473684210527,14828.0,1.8771929824561404,1.3859649122807018,1.0175438596491229
A+B,14,1.0,0.9285714285714286,0.7857142857142857,0.6428571428571429,0.2857142857142857,0.5714285714285714,0.5178571428571429,912.9357142857142,16648.14285714286,16570.5,2.2857142857142856,1.3571428571428572,0.8571428571428571
A+C,41,0.8780487804878049,0.8536585365853658,0.7560975609756098,0.5121951219512195,0.2926829268292683,0.3902439024390244,0.47804878048780486,865.2414634146342,15936.560975609756,16379.0,2.024390243902439,1.5365853658536586,1.146341463414634
B+C,14,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.5714285714285714,0.35714285714285715,0.42857142857142855,0.55,2615.6285714285714,18282.35714285714,15776.0,2.5,1.7857142857142858,1.2142857142857142
A+B+C,51,0.9803921568627451,0.9607843137254902,0.8431372549019608,0.7254901960784313,0.45098039215686275,0.6078431372549019,0.557843137254902,3610.7598039215686,20238.941176470587,18107.0,2.4313725490196076,1.8235294117647058,1.3333333333333333
