period,condition,n,strong3000_rate,strong5000_rate,strong10000_rate,strong15000_rate,strong20000_rate,very_high_rate,next_bullish_rate,next_close_mean,next_max_close_mean,next_max_close_median,avg_bullish_machine_count,avg_close_gt5000_count,avg_close_gt10000_count
first_half,A_RANK_TOP3,90,0.9,0.8444444444444444,0.6888888888888889,0.5444444444444444,0.36666666666666664,0.4777777777777778,0.49833333333333335,1289.5055555555555,16255.433333333332,16465.5,2.1555555555555554,1.5,1.0
first_half,B_ALL3_GE1,48,0.9583333333333334,0.9166666666666666,0.7916666666666666,0.6875,0.4375,0.625,0.49895833333333334,2407.4177083333334,19495.0625,18599.0,2.2083333333333335,1.6041666666666667,1.1041666666666667
first_half,C_DIRECTION_POSITIVE,84,0.8928571428571429,0.8809523809523809,0.7976190476190477,0.6309523809523809,0.40476190476190477,0.5238095238095238,0.48392857142857143,1674.642857142857,18195.630952380954,17863.5,2.107142857142857,1.6071428571428572,1.2142857142857142
first_half,A+B+C,28,0.9642857142857143,0.9285714285714286,0.75,0.6785714285714286,0.5357142857142857,0.6428571428571429,0.5107142857142857,2735.325,19820.928571428572,20950.5,2.2142857142857144,1.7142857142857142,1.1071428571428572
second_half,A_RANK_TOP3,90,0.9111111111111111,0.8777777777777778,0.7444444444444445,0.5222222222222223,0.28888888888888886,0.4111111111111111,0.4916666666666667,1669.6227777777779,16496.355555555554,15775.5,2.111111111111111,1.5888888888888888,1.0777777777777777
second_half,B_ALL3_GE1,45,0.9555555555555556,0.9333333333333333,0.8444444444444444,0.6888888888888889,0.4,0.5555555555555556,0.5488888888888889,2512.3277777777776,18843.577777777777,17851.0,2.4444444444444446,1.7333333333333334,1.2666666666666666
second_half,C_DIRECTION_POSITIVE,79,0.9113924050632911,0.8734177215189873,0.7341772151898734,0.5189873417721519,0.26582278481012656,0.43037974683544306,0.5056962025316456,1447.520253164557,15401.493670886075,15517.0,2.1772151898734178,1.5822784810126582,1.1139240506329113
second_half,A+B+C,23,1.0,1.0,0.9565217391304348,0.782608695652174,0.34782608695652173,0.5652173913043478,0.6152173913043478,4676.50652173913,20747.82608695652,17851.0,2.6956521739130435,1.9565217391304348,1.608695652173913
