scope,machine,signal,n,bullish_count,bullish_rate,baseline,lift,wilson_low,wilson_high,non_bullish_count,non_bullish_rate
Original4,Original4,UP-UP-UP,29,23,0.7931034482758621,0.49166666666666664,0.30143678160919546,0.6160955339174228,0.9015406348441479,6,0.20689655172413793
Original4,Original4,RIGHT,61,41,0.6721311475409836,0.49166666666666664,0.18046448087431693,0.5472157118133126,0.7766504481827393,20,0.32786885245901637
Original4,Original4,low_convergence + RIGHT,52,37,0.7115384615384616,0.49166666666666664,0.21987179487179492,0.5772695428589907,0.816701976581713,15,0.28846153846153844
Original4,Original4,DOWN-DOWN-DOWN,33,6,0.18181818181818182,0.49166666666666664,-0.3098484848484848,0.08610651225698263,0.3438856704929522,27,0.8181818181818182
Holdout35,Holdout35,UP-UP-UP,274,193,0.7043795620437956,0.43857142857142856,0.26580813347236704,0.6478221261234812,0.7552852559244193,81,0.2956204379562044
Holdout35,Holdout35,RIGHT,497,304,0.6116700201207244,0.43857142857142856,0.1730985915492958,0.5681209031271438,0.6535060543779835,193,0.38832997987927564
Holdout35,Holdout35,low_convergence + RIGHT,386,216,0.5595854922279793,0.43857142857142856,0.12101406365655071,0.5097142205475274,0.6082824221914722,170,0.44041450777202074
Holdout35,Holdout35,DOWN-DOWN-DOWN,266,67,0.2518796992481203,0.43857142857142856,-0.18669172932330824,0.2034972177150327,0.3073269102177991,199,0.7481203007518797
All39,All39,UP-UP-UP,303,216,0.7128712871287128,0.444017094017094,0.26885419311161884,0.6595136608358614,0.7608986952462342,87,0.2871287128712871
All39,All39,RIGHT,558,345,0.6182795698924731,0.444017094017094,0.17426247587537913,0.5772915405661506,0.6576501227069141,213,0.3817204301075269
All39,All39,low_convergence + RIGHT,438,253,0.5776255707762558,0.444017094017094,0.13360847675916177,0.5308888003643726,0.6230125072535613,185,0.4223744292237443
All39,All39,DOWN-DOWN-DOWN,299,73,0.24414715719063546,0.444017094017094,-0.19986993682645854,0.19890096589597292,0.29588442686380656,226,0.7558528428093646
