scope,machine,signal,n,bullish_count,bullish_rate,baseline,lift,wilson_low,wilson_high,non_bullish_count,non_bullish_rate
Holdout35,Holdout35,score0,1496,552,0.3689839572192513,0.43857142857142856,-0.06958747135217724,0.34489657247269995,0.3937424944794368,944,0.6310160427807486
Holdout35,Holdout35,score1,143,92,0.6433566433566433,0.43857142857142856,0.20478521478521478,0.5620381944153455,0.7171742358496475,51,0.35664335664335667
Holdout35,Holdout35,score2,369,210,0.5691056910569106,0.43857142857142856,0.130534262485482,0.5181224500288164,0.6186648612583361,159,0.43089430894308944
Holdout35,Holdout35,score3,92,67,0.7282608695652174,0.43857142857142856,0.28968944099378885,0.6295795515958801,0.8086435164664226,25,0.2717391304347826
Original4,Original4,score0,163,66,0.4049079754601227,0.49166666666666664,-0.08675869120654395,0.33257942624040765,0.48161559466564935,97,0.5950920245398773
Original4,Original4,score1,23,13,0.5652173913043478,0.49166666666666664,0.07355072463768114,0.3681104930501695,0.7436563166780135,10,0.43478260869565216
Original4,Original4,score2,43,29,0.6744186046511628,0.49166666666666664,0.18275193798449613,0.5251593250655096,0.7950688481822019,14,0.32558139534883723
Original4,Original4,score3,11,10,0.9090909090909091,0.49166666666666664,0.4174242424242424,0.6226353745137962,0.9837682477371741,1,0.09090909090909091
All39,All39,score0,1659,618,0.37251356238698013,0.444017094017094,-0.07150353163011386,0.34956795022160086,0.39604822873374895,1041,0.6274864376130199
All39,All39,score1,166,105,0.6325301204819277,0.444017094017094,0.1885130264648337,0.5569625882325872,0.7021023287253313,61,0.3674698795180723
All39,All39,score2,412,239,0.5800970873786407,0.444017094017094,0.13607999336154675,0.5319144046200496,0.6267998750479779,173,0.4199029126213592
All39,All39,score3,103,77,0.7475728155339806,0.444017094017094,0.3035557215168866,0.655819277626533,0.8215228812329376,26,0.2524271844660194
