group,days,mean_signal_count,next_day_bullish_count_mean,next_day_bullish_rate_mean,next_day_bullish_rate_median
0-5,0,,,,
6-10,27,8.88888888888889,16.74074074074074,0.42924976258309594,0.41025641025641024
11-15,28,12.857142857142858,17.928571428571427,0.4597069597069597,0.46153846153846156
16-20,5,16.2,17,0.4358974358974359,0.46153846153846156
21+,0,,,,
