scope,signal,n,low_vs_close_pearson,low_vs_close_spearman
Original4,UP_UP_UP,29,0.3998151431390194,0.33809762608000243
Original4,RIGHT,61,0.5926226247176423,0.5904739287845281
Original4,LOW_CONVERGENCE_RIGHT,52,0.576136952368928,0.5270382843164171
Original4,DOWN_DOWN_DOWN,33,0.7582172772147681,0.7447538065540766
Holdout35,UP_UP_UP,274,0.6416265905630834,0.5814759885302094
Holdout35,RIGHT,497,0.6337519066947791,0.6345983671595328
Holdout35,LOW_CONVERGENCE_RIGHT,386,0.6466628158396277,0.6739368953404359
Holdout35,DOWN_DOWN_DOWN,266,0.8442032737660605,0.8461482915112228
All39,UP_UP_UP,303,0.6194566973737349,0.5515831146380604
All39,RIGHT,558,0.6284789750545955,0.6303470508559122
All39,LOW_CONVERGENCE_RIGHT,438,0.6414558224249906,0.6614282589763699
All39,DOWN_DOWN_DOWN,299,0.835862487434038,0.8372252583496002
