wave,role,phase_bin,samples,next_day_bullish_count,next_day_bullish_rate
wave2,LONG,0-45,6,2,33.33333333333333
wave2,LONG,45-90,6,2,33.33333333333333
wave2,LONG,90-135,8,7,87.5
wave2,LONG,135-180,8,6,75.0
wave2,LONG,180-225,8,4,50.0
wave2,LONG,225-270,8,5,62.5
wave2,LONG,270-315,8,4,50.0
wave2,LONG,315-360,8,4,50.0
wave3,MID,0-45,7,5,71.42857142857143
wave3,MID,45-90,8,6,75.0
wave3,MID,90-135,7,5,71.42857142857143
wave3,MID,135-180,8,4,50.0
wave3,MID,180-225,8,6,75.0
wave3,MID,225-270,7,0,0.0
wave3,MID,270-315,8,5,62.5
wave3,MID,315-360,7,3,42.857142857142854
wave1,SHORT,0-45,7,5,71.42857142857143
wave1,SHORT,45-90,8,7,87.5
wave1,SHORT,90-135,7,6,85.71428571428571
wave1,SHORT,135-180,8,3,37.5
wave1,SHORT,180-225,8,3,37.5
wave1,SHORT,225-270,7,3,42.857142857142854
wave1,SHORT,270-315,8,4,50.0
wave1,SHORT,315-360,7,3,42.857142857142854
