centroid_region,phase_convergence,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
TOP,False,24,19,79.16666666666666,24,13,54.166666666666664
TOP,True,2,2,100.0,2,1,50.0
RIGHT,False,11,6,54.54545454545454,11,7,63.63636363636363
RIGHT,True,3,1,33.33333333333333,3,3,100.0
BOTTOM,False,4,0,0.0,4,4,100.0
BOTTOM,True,3,1,33.33333333333333,2,1,50.0
LEFT,False,9,6,66.66666666666666,9,4,44.44444444444444
LEFT,True,5,0,0.0,5,1,20.0
