regime,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate,avg_long_period,avg_mid_period,avg_short_period,avg_alignment,avg_convergence
INSUFFICIENT_HISTORY,20,12,60.0,20,11,55.00000000000001,,,,,
STABLE,12,6,50.0,11,6,54.54545454545454,14.577777777777778,5.765656565656566,2.6330864197530865,0.5298733281891783,0.42889491824492637
TRANSITION,12,6,50.0,12,8,66.66666666666666,9.753535353535353,3.9334887334887334,2.586080586080586,0.5500091847603333,0.3874522993706681
UNSTABLE,15,10,66.66666666666666,15,8,53.333333333333336,14.791111111111112,6.229225589225589,2.58097734364401,0.6670628384366745,0.46248139257976095
