pattern,samples,next_day_bullish_count,next_day_bullish_rate
UP-UP-UP,5,4,80.0
UP-UP-DOWN,8,5,62.5
UP-DOWN-UP,8,7,87.5
UP-DOWN-DOWN,8,5,62.5
DOWN-UP-UP,8,4,50.0
DOWN-UP-DOWN,7,4,57.14285714285714
DOWN-DOWN-UP,8,4,50.0
DOWN-DOWN-DOWN,8,1,12.5
