group,value,samples,percentage,source_bullish_count,source_bullish_rate,target_bullish_count,target_bullish_rate,mean_improvement,mean_shape_similarity
source_regime,STABLE,8,27.586206896551722,3,37.5,5,62.5,0.5367264303910388,0.808826451299769
source_regime,TRANSITION,11,37.93103448275862,6,54.54545454545454,7,63.63636363636363,0.3941649999402068,0.7959309649664462
source_regime,UNSTABLE,10,34.48275862068966,7,70.0,5,50.0,0.5990696853317511,0.7018554603515509
