scope,samples,mean_predicted_probability,actual_transform_count,actual_transform_rate,brier_score
overall,31,0.6782407407407407,20,0.6451612903225806,0.3172737517846645
0-20%,3,0.0,1,0.3333333333333333,0.3333333333333333
20-40%,1,0.3333333333333333,1,1.0,0.44444444444444453
40-60%,8,0.5373015873015873,6,0.75,0.25846686822877296
60-80%,4,0.6979166666666666,2,0.5,0.3025173611111111
80-100%,14,0.9231292517006803,9,0.6428571428571429,0.342568837058633
NO_SUPPORT,1,,1,1.0,
