score_bin,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
0.0-0.2,5,3,60.0,5,3,60.0
0.2-0.4,18,15,83.33333333333334,18,11,61.111111111111114
0.4-0.6,16,8,50.0,16,8,50.0
0.6-0.8,12,4,33.33333333333333,12,9,75.0
0.8-1.0,10,5,50.0,9,3,33.33333333333333
