n_fft,top_wave_pattern,samples,bullish_rate,next_day_samples,next_day_bullish_rate
32,NONE,3,0.0,3,66.66666666666666
32,LONG,2,50.0,2,100.0
32,MID,0,,0,
32,SHORT,1,100.0,1,0.0
32,LONG+MID,1,100.0,1,100.0
32,LONG+SHORT,0,,0,
32,MID+SHORT,1,0.0,1,0.0
32,LONG+MID+SHORT,4,100.0,4,75.0
64,NONE,3,0.0,3,100.0
64,LONG,3,33.33333333333333,3,33.33333333333333
64,MID,2,50.0,2,50.0
64,SHORT,6,50.0,6,50.0
64,LONG+MID,4,100.0,4,50.0
64,LONG+SHORT,5,80.0,4,75.0
64,MID+SHORT,0,,0,
64,LONG+MID+SHORT,2,100.0,2,50.0
