preprocessing,rank,role,frequency,period_days,amplitude,phase,relative_power,phase_definition,n_observations,n_fft,sampling_interval,frequency_unit,period_basis
raw_close,1,LONG,0.046875,21.333333333333332,6146.860513749661,272.4075130445276,0.14789698755627945,"0=trough, 90=rising, 180=crest, 270=falling",61,64,1.0,cycles/observation,observations (not calendar days)
raw_close,2,SHORT,0.375,2.6666666666666665,5913.150314146328,317.66887211554274,0.13686438492962852,"0=trough, 90=rising, 180=crest, 270=falling",61,64,1.0,cycles/observation,observations (not calendar days)
raw_close,3,MID,0.34375,2.909090909090909,4666.557923309142,306.67060727517924,0.08524048922855273,"0=trough, 90=rising, 180=crest, 270=falling",61,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_removed,1,SHORT,0.375,2.6666666666666665,5843.958749231293,317.56072945447136,0.135504416209481,"0=trough, 90=rising, 180=crest, 270=falling",61,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_removed,2,LONG,0.046875,21.333333333333332,5682.801434469528,272.75024416200193,0.12813392476858787,"0=trough, 90=rising, 180=crest, 270=falling",61,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_removed,3,MID,0.34375,2.909090909090909,4604.68009439815,306.36007534678805,0.08412752122793793,"0=trough, 90=rising, 180=crest, 270=falling",61,64,1.0,cycles/observation,observations (not calendar days)
mean_removed,1,LONG,0.046875,21.333333333333332,6010.616882279772,274.6100339123622,0.14145180067001964,"0=trough, 90=rising, 180=crest, 270=falling",61,64,1.0,cycles/observation,observations (not calendar days)
mean_removed,2,SHORT,0.375,2.6666666666666665,5887.327904494674,317.9454855723572,0.13570843341667513,"0=trough, 90=rising, 180=crest, 270=falling",61,64,1.0,cycles/observation,observations (not calendar days)
mean_removed,3,MID,0.34375,2.909090909090909,4661.279519748215,306.7794933906967,0.0850708319818867,"0=trough, 90=rising, 180=crest, 270=falling",61,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_and_mean_removed,1,SHORT,0.375,2.6666666666666665,5843.958749231293,317.56072945447136,0.135504416209481,"0=trough, 90=rising, 180=crest, 270=falling",61,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_and_mean_removed,2,LONG,0.046875,21.333333333333332,5682.801434469528,272.75024416200193,0.1281339247685879,"0=trough, 90=rising, 180=crest, 270=falling",61,64,1.0,cycles/observation,observations (not calendar days)
linear_trend_and_mean_removed,3,MID,0.34375,2.909090909090909,4604.68009439815,306.36007534678805,0.08412752122793794,"0=trough, 90=rising, 180=crest, 270=falling",61,64,1.0,cycles/observation,observations (not calendar days)
