score_bin,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
0.0-0.2,0,0,,0,0,
0.2-0.4,41,23,56.09756097560976,40,25,62.5
0.4-0.6,15,10,66.66666666666666,15,8,53.333333333333336
0.6-0.8,3,1,33.33333333333333,3,1,33.33333333333333
0.8-1.0,1,1,100.0,1,0,0.0
