n_fft,top_wave_count,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
32,0,3,0,0.0,3,2,66.66666666666666
32,1,3,2,66.66666666666666,3,2,66.66666666666666
32,2,2,1,50.0,2,1,50.0
32,3,4,4,100.0,4,3,75.0
32,2+,6,5,83.33333333333334,6,4,66.66666666666666
64,0,3,0,0.0,2,2,100.0
64,1,11,5,45.45454545454545,11,5,45.45454545454545
64,2,8,7,87.5,8,5,62.5
64,3,2,2,100.0,2,1,50.0
64,2+,10,9,90.0,10,6,60.0
