centroid_region,high_alignment,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
TOP,False,22,17,77.27272727272727,22,12,54.54545454545454
TOP,True,4,4,100.0,4,2,50.0
RIGHT,False,12,6,50.0,12,8,66.66666666666666
RIGHT,True,2,1,50.0,2,2,100.0
BOTTOM,False,5,1,20.0,5,4,80.0
BOTTOM,True,2,0,0.0,1,1,100.0
LEFT,False,9,5,55.55555555555556,9,5,55.55555555555556
LEFT,True,5,1,20.0,5,0,0.0
