category,value,samples,bullish_count,bullish_rate,next_day_samples,next_day_bullish_count,next_day_bullish_rate
LONG_REGION,TOP,12,12,100.0,12,7,58.333333333333336
LONG_REGION,RIGHT,9,5,55.55555555555556,9,5,55.55555555555556
LONG_REGION,BOTTOM,10,3,30.0,9,5,55.55555555555556
LONG_REGION,LEFT,10,3,30.0,10,6,60.0
LONG_SIDE,TOP,22,18,81.81818181818183,22,13,59.09090909090909
LONG_SIDE,BOTTOM,19,5,26.31578947368421,18,10,55.55555555555556
MID_REGION,TOP,8,7,87.5,8,5,62.5
MID_REGION,RIGHT,7,5,71.42857142857143,7,3,42.857142857142854
MID_REGION,BOTTOM,14,3,21.428571428571427,13,7,53.84615384615385
MID_REGION,LEFT,12,8,66.66666666666666,12,8,66.66666666666666
MID_SIDE,TOP,14,12,85.71428571428571,14,8,57.14285714285714
MID_SIDE,BOTTOM,27,11,40.74074074074074,26,15,57.692307692307686
SHORT_REGION,TOP,10,9,90.0,10,5,50.0
SHORT_REGION,RIGHT,7,3,42.857142857142854,7,4,57.14285714285714
SHORT_REGION,BOTTOM,14,5,35.714285714285715,13,7,53.84615384615385
SHORT_REGION,LEFT,10,6,60.0,10,7,70.0
SHORT_SIDE,TOP,20,14,70.0,20,11,55.00000000000001
SHORT_SIDE,BOTTOM,21,9,42.857142857142854,20,12,60.0
CENTROID_REGION,TOP,16,15,93.75,16,8,50.0
CENTROID_REGION,RIGHT,8,3,37.5,8,4,50.0
CENTROID_REGION,BOTTOM,7,0,0.0,6,4,66.66666666666666
CENTROID_REGION,LEFT,10,5,50.0,10,7,70.0
TOP_WAVE_COUNT,0,8,0,0.0,7,5,71.42857142857143
TOP_WAVE_COUNT,1,16,8,50.0,16,8,50.0
TOP_WAVE_COUNT,2,11,9,81.81818181818183,11,6,54.54545454545454
TOP_WAVE_COUNT,3,6,6,100.0,6,4,66.66666666666666
TOP_WAVE_COUNT,2+,17,15,88.23529411764706,17,10,58.82352941176471
