group,machine_count,machines,initial_count,continuation_count,total_hit_count,continuation_per_initial,final_group_close
g1,4,"046,055,064,073",19,17,36,0.8947,-39757
g2,4,"047,056,065,074",15,35,50,2.3333,-18087
g3,5,"039,048,057,066,075",22,70,92,3.1818,29645
g4,5,"040,049,058,067,076",16,27,43,1.6875,-35371
g5,5,"041,050,059,068,077",17,29,46,1.7059,-38401
g6,4,"042,051,060,069",22,40,62,1.8182,14149
g7,4,"043,052,061,070",9,17,26,1.8889,-32534
g8,4,"044,053,062,071",14,36,50,2.5714,-12960
g9,4,"045,054,063,072",14,52,66,3.7143,15060
