group,wavelab_rank,morning_rank,activity_start_rank,peak_activity_rank,peak_delta_rank,final_rank
g1,8,3,3,5,4,9
g2,1,4,4,3,9,5
g3,7,8,7,2,3,1
g4,5,1,1,6,7,7
g5,9,7,8,4,8,8
g6,4,5,5,7,2,3
g7,3,9,9,8,6,6
g8,2,6,6,9,5,4
g9,6,2,2,1,1,2
