group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,2,4,6,2.0
g1,12-15,12:00,15:00,3,3,6,1.0
g1,15-18,15:00,18:00,3,1,4,0.3333
g1,18-close,18:00,24:00,11,9,20,0.8182
g2,09-12,09:00,12:00,2,1,3,0.5
g2,12-15,12:00,15:00,2,0,2,0.0
g2,15-18,15:00,18:00,7,26,33,3.7143
g2,18-close,18:00,24:00,4,8,12,2.0
g3,09-12,09:00,12:00,0,0,0,
g3,12-15,12:00,15:00,4,18,22,4.5
g3,15-18,15:00,18:00,11,41,52,3.7273
g3,18-close,18:00,24:00,7,11,18,1.5714
g4,09-12,09:00,12:00,2,1,3,0.5
g4,12-15,12:00,15:00,8,18,26,2.25
g4,15-18,15:00,18:00,1,0,1,0.0
g4,18-close,18:00,24:00,5,8,13,1.6
g5,09-12,09:00,12:00,0,0,0,
g5,12-15,12:00,15:00,5,8,13,1.6
g5,15-18,15:00,18:00,7,10,17,1.4286
g5,18-close,18:00,24:00,5,11,16,2.2
g6,09-12,09:00,12:00,1,2,3,2.0
g6,12-15,12:00,15:00,6,8,14,1.3333
g6,15-18,15:00,18:00,9,20,29,2.2222
g6,18-close,18:00,24:00,6,10,16,1.6667
g7,09-12,09:00,12:00,0,0,0,
g7,12-15,12:00,15:00,2,4,6,2.0
g7,15-18,15:00,18:00,4,7,11,1.75
g7,18-close,18:00,24:00,3,6,9,2.0
g8,09-12,09:00,12:00,0,0,0,
g8,12-15,12:00,15:00,4,3,7,0.75
g8,15-18,15:00,18:00,7,13,20,1.8571
g8,18-close,18:00,24:00,3,20,23,6.6667
g9,09-12,09:00,12:00,2,6,8,3.0
g9,12-15,12:00,15:00,5,15,20,3.0
g9,15-18,15:00,18:00,4,3,7,0.75
g9,18-close,18:00,24:00,3,28,31,9.3333
