machine,group,initial_count,continuation_count,total_hit_count,continuation_per_initial,high,low,close
0039,g3,2,8,10,4.0,2586,-8356,-5422
0040,g4,6,8,14,1.3333,12586,0,1552
0041,g5,2,1,3,0.5,0,-9600,-7289
0042,g6,5,4,9,0.8,3448,-10133,-8889
0043,g7,4,7,11,1.75,2069,-4178,-3556
0044,g8,1,1,2,1.0,0,-11733,-11733
0045,g9,6,31,37,5.1667,35385,0,34615
0046,g1,1,0,1,0.0,0,-11733,-11733
0047,g2,6,17,23,2.8333,23306,-2809,19339
0048,g3,3,4,7,1.3333,0,-12978,-12089
0049,g4,0,0,0,,0,-5689,-5689
0050,g5,5,5,10,1.0,0,-15111,-13156
0051,g6,4,9,13,2.25,6724,-2578,5776
0052,g7,3,6,9,2.0,0,-19200,-13511
0053,g8,3,1,4,0.3333,0,-20936,-20936
0054,g9,3,10,13,3.3333,1121,-9156,-5244
0055,g1,4,0,4,0.0,0,-18667,-18667
0056,g2,0,0,0,,0,-19378,-19378
0057,g3,7,23,30,3.2857,25537,-4340,21074
0058,g4,3,2,5,0.6667,0,-20681,-19915
0059,g5,4,12,16,3.0,3707,-6933,-2578
0060,g6,4,5,9,1.25,2155,-6044,-6044
0061,g7,0,0,0,,0,-8978,-8978
0062,g8,4,23,27,5.75,21074,-9702,20331
0063,g9,1,1,2,1.0,172,-10844,-10844
0064,g1,11,14,25,1.2727,6552,-3733,3621
0065,g2,7,17,24,2.4286,6379,-12622,6207
0066,g3,6,9,15,1.5,5259,-4711,-1867
0067,g4,2,10,12,5.0,7759,-1244,948
0068,g5,1,2,3,2.0,0,-6044,-4178
0069,g6,9,22,31,2.4444,24793,-5362,23306
0070,g7,2,4,6,2.0,603,-6489,-6489
0071,g8,6,11,17,1.8333,3534,-5867,-622
0072,g9,4,10,14,2.5,6552,-7200,-3467
0073,g1,3,3,6,1.0,0,-16000,-12978
0074,g2,2,1,3,0.5,0,-24255,-24255
0075,g3,4,26,30,6.5,34615,-779,27949
0076,g4,5,7,12,1.4,4138,-12267,-12267
0077,g5,5,9,14,1.8,0,-14044,-11200
