time,minute,initial_5m,continuation_5m,total_5m,initial_10m,continuation_10m,total_10m,initial_30m,continuation_30m,total_30m
09:00,540,0,0,0,0,0,0,0,0,0
09:05,545,0,0,0,0,0,0,0,0,0
09:10,550,0,0,0,0,0,0,0,0,0
09:15,555,0,0,0,0,0,0,0,0,0
09:20,560,0,0,0,0,0,0,0,0,0
09:25,565,0,0,0,0,0,0,0,0,0
09:30,570,0,0,0,0,0,0,0,0,0
09:35,575,0,0,0,0,0,0,0,0,0
09:40,580,0,0,0,0,0,0,0,0,0
09:45,585,0,0,0,0,0,0,0,0,0
09:50,590,0,0,0,0,0,0,0,0,0
09:55,595,0,0,0,0,0,0,0,0,0
10:00,600,0,0,0,0,0,0,1,0,1
10:05,605,0,0,0,0,0,0,1,0,1
10:10,610,0,0,0,0,0,0,1,0,1
10:15,615,0,0,0,0,0,0,1,0,1
10:20,620,0,0,0,1,0,1,1,0,1
10:25,625,1,0,1,1,0,1,1,0,1
10:30,630,0,0,0,0,0,0,1,0,1
10:35,635,0,0,0,0,0,0,2,0,2
10:40,640,0,0,0,0,0,0,2,2,4
10:45,645,0,0,0,0,0,0,4,4,8
10:50,650,0,0,0,1,0,1,4,7,11
10:55,655,1,0,1,2,0,2,5,7,12
11:00,660,1,0,1,1,2,3,5,8,13
11:05,665,0,2,2,2,4,6,5,11,16
11:10,670,2,2,4,2,5,7,5,10,15
11:15,675,0,3,3,1,3,4,3,10,13
11:20,680,1,0,1,2,1,3,4,7,11
11:25,685,1,1,2,2,4,6,3,7,10
11:30,690,1,3,4,1,4,5,2,6,8
11:35,695,0,1,1,0,3,3,2,3,5
11:40,700,0,2,2,1,2,3,2,3,5
11:45,705,1,0,1,1,0,1,4,2,6
11:50,710,0,0,0,0,0,0,3,5,8
11:55,715,0,0,0,1,0,1,3,5,8
12:00,720,1,0,1,1,1,2,4,6,10
12:05,725,0,1,1,2,2,4,6,7,13
12:10,730,2,1,3,2,4,6,7,8,15
12:15,735,0,3,3,0,3,3,5,9,14
12:20,740,0,0,0,1,1,2,7,11,18
12:25,745,1,1,2,4,2,6,8,12,20
12:30,750,3,1,4,4,3,7,7,12,19
12:35,755,1,2,3,1,4,5,5,13,18
12:40,760,0,2,2,2,7,9,6,14,20
12:45,765,2,5,7,3,6,9,6,16,22
12:50,770,1,1,2,1,2,3,6,14,20
12:55,775,0,1,1,1,3,4,6,18,24
13:00,780,1,2,3,3,5,8,8,19,27
13:05,785,2,3,5,2,7,9,8,21,29
13:10,790,0,4,4,2,7,9,6,20,26
13:15,795,2,3,5,3,8,11,7,17,24
13:20,800,1,5,6,3,7,10,7,14,21
13:25,805,2,2,4,3,6,9,10,11,21
13:30,810,1,4,5,1,6,7,9,12,21
13:35,815,0,2,2,1,3,4,9,11,20
13:40,820,1,1,2,3,1,4,10,12,22
13:45,825,2,0,2,6,2,8,9,13,22
13:50,830,4,2,6,5,5,10,8,16,24
13:55,835,1,3,4,2,6,8,6,17,23
14:00,840,1,3,4,2,6,8,6,16,22
14:05,845,1,3,4,1,5,6,7,15,22
14:10,850,0,2,2,1,5,6,6,13,19
14:15,855,1,3,4,3,6,9,7,12,19
14:20,860,2,3,5,3,5,8,7,10,17
14:25,865,1,2,3,3,4,7,5,12,17
14:30,870,2,2,4,2,3,5,5,12,17
14:35,875,0,1,1,1,2,3,6,11,17
14:40,880,1,1,2,2,2,4,6,12,18
14:45,885,1,1,2,1,6,7,5,12,17
14:50,890,0,5,5,1,7,8,5,12,17
14:55,895,1,2,3,4,3,7,7,11,18
15:00,900,3,1,4,3,3,6,7,14,21
15:05,905,0,2,2,0,3,3,4,17,21
15:10,910,0,1,1,1,2,3,5,17,22
15:15,915,1,1,2,3,5,8,6,18,24
15:20,920,2,4,6,3,9,12,7,19,26
15:25,925,1,5,6,1,9,10,5,17,22
15:30,930,0,4,4,1,6,7,5,13,18
15:35,935,1,2,3,2,4,6,11,11,22
15:40,940,1,2,3,3,4,7,11,12,23
15:45,945,2,2,4,2,4,6,13,12,25
15:50,950,0,2,2,1,3,4,11,17,28
15:55,955,1,1,2,7,3,10,12,21,33
16:00,960,6,2,8,7,5,12,11,26,37
16:05,965,1,3,4,4,5,9,5,26,31
16:10,970,3,2,5,3,9,12,7,29,36
16:15,975,0,7,7,1,13,14,4,31,35
16:20,980,1,6,7,1,12,13,4,27,31
16:25,985,0,6,6,0,8,8,4,23,27
16:30,990,0,2,2,3,8,11,7,20,27
16:35,995,3,6,9,3,10,13,8,22,30
16:40,1000,0,4,4,0,7,7,8,20,28
16:45,1005,0,3,3,1,5,6,10,20,30
16:50,1010,1,2,3,4,5,9,10,22,32
16:55,1015,3,3,6,4,7,11,10,22,32
17:00,1020,1,4,5,4,8,12,9,20,29
17:05,1025,3,4,7,5,8,13,12,18,30
17:10,1030,2,4,6,2,9,11,12,18,30
17:15,1035,0,5,5,1,7,8,12,19,31
17:20,1040,1,2,3,3,3,6,13,19,32
17:25,1045,2,1,3,6,3,9,15,22,37
17:30,1050,4,2,6,7,6,13,14,28,42
17:35,1055,3,4,7,5,9,14,10,31,41
17:40,1060,2,5,7,3,10,13,10,32,42
17:45,1065,1,5,6,4,10,14,10,34,44
17:50,1070,3,5,8,4,12,16,10,33,43
17:55,1075,1,7,8,1,12,13,9,31,40
18:00,1080,0,5,5,3,10,13,8,27,35
18:05,1085,3,5,8,5,12,17,10,22,32
18:10,1090,2,7,9,3,11,14,9,17,26
18:15,1095,1,4,5,3,7,10,10,12,22
18:20,1100,2,3,5,2,6,8,11,12,23
18:25,1105,0,3,3,2,3,5,12,9,21
18:30,1110,2,0,2,4,0,4,13,12,25
18:35,1115,2,0,2,5,2,7,11,17,28
18:40,1120,3,2,5,5,6,11,10,20,30
18:45,1125,2,4,6,5,4,9,9,20,29
18:50,1130,3,0,3,4,6,10,9,18,27
18:55,1135,1,6,7,1,11,12,6,20,26
19:00,1140,0,5,5,1,8,9,6,15,21
19:05,1145,1,3,4,3,5,8,7,13,20
19:10,1150,2,2,4,4,4,8,6,15,21
19:15,1155,2,2,4,2,4,6,4,16,20
19:20,1160,0,2,2,1,3,4,2,15,17
19:25,1165,1,1,2,2,4,6,3,14,17
19:30,1170,1,3,4,1,8,9,3,14,17
19:35,1175,0,5,5,0,8,8,4,13,17
19:40,1180,0,3,3,0,4,4,5,11,16
19:45,1185,0,1,1,1,2,3,7,11,18
19:50,1190,1,1,2,2,2,4,8,14,22
19:55,1195,1,1,2,3,3,6,8,14,22
20:00,1200,2,2,4,3,5,8,7,14,21
20:05,1205,1,3,4,3,6,9,7,13,20
20:10,1210,2,3,5,3,7,10,7,13,20
20:15,1215,1,4,5,2,5,7,5,13,18
20:20,1220,1,1,2,1,2,3,4,11,15
20:25,1225,0,1,1,2,2,4,4,12,16
20:30,1230,2,1,3,3,4,7,5,13,18
20:35,1235,1,3,4,1,6,7,3,13,16
20:40,1240,0,3,3,0,5,5,2,12,14
20:45,1245,0,2,2,1,4,5,3,11,14
20:50,1250,1,2,3,2,4,6,4,10,14
20:55,1255,1,2,3,1,3,4,4,9,13
21:00,1260,0,1,1,0,3,3,4,8,12
21:05,1265,0,2,2,1,4,5,4,9,13
21:10,1270,1,2,3,2,3,5,5,9,14
21:15,1275,1,1,2,2,2,4,4,8,12
21:20,1280,1,1,2,2,2,4,3,8,11
21:25,1285,1,1,2,1,3,4,2,8,10
21:30,1290,0,2,2,1,4,5,1,8,9
21:35,1295,1,2,3,1,3,4,1,6,7
21:40,1300,0,1,1,0,2,2,0,4,4
21:45,1305,0,1,1,0,2,2,0,3,3
21:50,1310,0,1,1,0,2,2,0,2,2
21:55,1315,0,1,1,0,1,1,0,1,1
22:00,1320,0,0,0,0,0,0,0,0,0
22:05,1325,0,0,0,0,0,0,0,0,0
22:10,1330,0,0,0,0,0,0,0,0,0
22:15,1335,0,0,0,0,0,0,0,0,0
22:20,1340,0,0,0,0,0,0,0,0,0
22:25,1345,0,0,0,0,0,0,0,0,0
22:30,1350,0,0,0,0,0,0,0,0,0
22:35,1355,0,0,0,0,0,0,0,0,0
22:40,1360,0,0,0,0,0,0,0,0,0
22:45,1365,0,0,0,0,0,0,0,0,0
22:50,1370,0,0,0,0,0,0,0,0,0
22:55,1375,0,0,0,0,0,0,0,0,0
23:00,1380,0,0,0,0,0,0,0,0,0
23:05,1385,0,0,0,0,0,0,0,0,0
23:10,1390,0,0,0,0,0,0,0,0,0
23:15,1395,0,0,0,0,0,0,0,0,0
23:16,1396,0,0,0,0,0,0,0,0,0
23:20,1400,0,0,0,0,0,0,0,0,0
