order,time,machine,group,source
1,10:25,0076,g4,PSCUBE history CSV status=初当り
2,10:59,0072,g9,PSCUBE history CSV status=初当り
3,11:01,0055,g1,PSCUBE history CSV status=初当り
4,11:13,0074,g2,PSCUBE history CSV status=初当り
5,11:14,0040,g4,PSCUBE history CSV status=初当り
6,11:22,0045,g9,PSCUBE history CSV status=初当り
7,11:26,0042,g6,PSCUBE history CSV status=初当り
8,11:30,0064,g1,PSCUBE history CSV status=初当り
9,12:11,0071,g8,PSCUBE history CSV status=初当り
10,12:14,0073,g1,PSCUBE history CSV status=初当り
11,12:25,0067,g4,PSCUBE history CSV status=初当り
12,12:45,0077,g5,PSCUBE history CSV status=初当り
13,12:46,0066,g3,PSCUBE history CSV status=初当り
14,13:00,0057,g3,PSCUBE history CSV status=初当り
15,13:06,0059,g5,PSCUBE history CSV status=初当り
16,13:18,0070,g7,PSCUBE history CSV status=初当り
17,13:23,0060,g6,PSCUBE history CSV status=初当り
18,13:25,0043,g7,PSCUBE history CSV status=初当り
19,13:29,0048,g3,PSCUBE history CSV status=初当り
20,13:31,0053,g8,PSCUBE history CSV status=初当り
21,13:44,0058,g4,PSCUBE history CSV status=初当り
22,13:46,0050,g5,PSCUBE history CSV status=初当り
23,13:51,0063,g9,PSCUBE history CSV status=初当り
24,13:53,0051,g6,PSCUBE history CSV status=初当り
25,13:56,0047,g2,PSCUBE history CSV status=初当り
26,14:04,0069,g6,PSCUBE history CSV status=初当り
27,14:08,0075,g3,PSCUBE history CSV status=初当り
28,14:30,0062,g8,PSCUBE history CSV status=初当り
29,14:40,0054,g9,PSCUBE history CSV status=初当り
30,15:04,0065,g2,PSCUBE history CSV status=初当り
31,15:44,0039,g3,PSCUBE history CSV status=初当り
32,17:48,0052,g7,PSCUBE history CSV status=初当り
33,18:31,0046,g1,PSCUBE history CSV status=初当り
34,19:19,0044,g8,PSCUBE history CSV status=初当り
35,19:27,0068,g5,PSCUBE history CSV status=初当り
36,21:14,0041,g5,PSCUBE history CSV status=初当り
