machine,group,first_hit_time,first_hit_order,source
0039,g3,13:47,21,PSCUBE history CSV status=初当り
0040,g4,16:31,34,PSCUBE history CSV status=初当り
0041,g5,14:15,23,PSCUBE history CSV status=初当り
0042,g6,,,no qualifying history event
0043,g7,11:15,7,PSCUBE history CSV status=初当り
0044,g8,15:00,29,PSCUBE history CSV status=初当り
0045,g9,14:34,26,PSCUBE history CSV status=初当り
0046,g1,15:49,32,PSCUBE history CSV status=初当り
0047,g2,12:36,14,PSCUBE history CSV status=初当り
0048,g3,11:16,8,PSCUBE history CSV status=初当り
0049,g4,12:57,15,PSCUBE history CSV status=初当り
0050,g5,12:04,9,PSCUBE history CSV status=初当り
0051,g6,12:18,11,PSCUBE history CSV status=初当り
0052,g7,11:08,6,PSCUBE history CSV status=初当り
0053,g8,12:29,13,PSCUBE history CSV status=初当り
0054,g9,14:39,28,PSCUBE history CSV status=初当り
0055,g1,10:43,4,PSCUBE history CSV status=初当り
0056,g2,14:18,24,PSCUBE history CSV status=初当り
0057,g3,10:15,1,PSCUBE history CSV status=初当り
0058,g4,14:38,27,PSCUBE history CSV status=初当り
0059,g5,16:47,35,PSCUBE history CSV status=初当り
0060,g6,10:55,5,PSCUBE history CSV status=初当り
0061,g7,15:49,33,PSCUBE history CSV status=初当り
0062,g8,13:41,20,PSCUBE history CSV status=初当り
0063,g9,12:21,12,PSCUBE history CSV status=初当り
0064,g1,17:17,36,PSCUBE history CSV status=初当り
0065,g2,,,no qualifying history event
0066,g3,12:17,10,PSCUBE history CSV status=初当り
0067,g4,14:24,25,PSCUBE history CSV status=初当り
0068,g5,10:42,3,PSCUBE history CSV status=初当り
0069,g6,15:20,30,PSCUBE history CSV status=初当り
0070,g7,14:14,22,PSCUBE history CSV status=初当り
0071,g8,13:19,17,PSCUBE history CSV status=初当り
0072,g9,13:26,19,PSCUBE history CSV status=初当り
0073,g1,15:35,31,PSCUBE history CSV status=初当り
0074,g2,13:02,16,PSCUBE history CSV status=初当り
0075,g3,17:52,37,PSCUBE history CSV status=初当り
0076,g4,13:19,18,PSCUBE history CSV status=初当り
0077,g5,10:32,2,PSCUBE history CSV status=初当り
