group,machines,machine_count,initial_hit_count,unique_machines_with_initial_hit,09-12_initial_hit_count,12-15_initial_hit_count,15-18_initial_hit_count,18-close_initial_hit_count,final_total
g1,"046,055,064,073",4,15,4,2,2,9,2,73512
g2,"047,056,065,074",4,9,3,0,6,1,2,-23743
g3,"039,048,057,066,075",5,23,5,2,6,11,4,28001
g4,"040,049,058,067,076",5,17,5,0,5,10,2,-24448
g5,"041,050,059,068,077",5,25,5,4,7,5,9,-5793
g6,"042,051,060,069",4,11,3,4,2,4,1,-15616
g7,"043,052,061,070",4,12,4,3,3,6,0,-687
g8,"044,053,062,071",4,16,4,0,4,8,4,-27528
g9,"045,054,063,072",4,16,4,0,8,8,0,-9578
