time_bin,start_minute,end_time,group,initial_count,continuation_count,total_hit_count,group_value_start,group_value_end,group_delta
09:00,540,09:30,g1,0,0,0,0,0,0
09:00,540,09:30,g2,0,0,0,0,0,0
09:00,540,09:30,g3,0,0,0,0,0,0
09:00,540,09:30,g4,0,0,0,0,0,0
09:00,540,09:30,g5,0,0,0,0,0,0
09:00,540,09:30,g6,0,0,0,0,0,0
09:00,540,09:30,g7,0,0,0,0,0,0
09:00,540,09:30,g8,0,0,0,0,0,0
09:00,540,09:30,g9,0,0,0,0,0,0
09:30,570,10:00,g1,0,0,0,0,0,0
09:30,570,10:00,g2,0,0,0,0,0,0
09:30,570,10:00,g3,0,0,0,0,0,0
09:30,570,10:00,g4,0,0,0,0,0,0
09:30,570,10:00,g5,0,0,0,0,0,0
09:30,570,10:00,g6,0,0,0,0,0,0
09:30,570,10:00,g7,0,0,0,0,0,0
09:30,570,10:00,g8,0,0,0,0,0,0
09:30,570,10:00,g9,0,0,0,0,0,0
10:00,600,10:30,g1,0,0,0,0,-533,-533
10:00,600,10:30,g2,0,0,0,0,0,0
10:00,600,10:30,g3,1,3,4,0,3719,3719
10:00,600,10:30,g4,0,0,0,0,-1244,-1244
10:00,600,10:30,g5,0,0,0,0,-800,-800
10:00,600,10:30,g6,0,0,0,0,0,0
10:00,600,10:30,g7,0,0,0,0,-1244,-1244
10:00,600,10:30,g8,0,0,0,0,0,0
10:00,600,10:30,g9,0,0,0,0,-444,-444
10:30,630,11:00,g1,1,4,5,-533,3621,4154
10:30,630,11:00,g2,0,0,0,0,-178,-178
10:30,630,11:00,g3,0,8,8,3719,13140,9421
10:30,630,11:00,g4,0,0,0,-1244,-4178,-2934
10:30,630,11:00,g5,2,6,8,-800,7118,7918
10:30,630,11:00,g6,1,0,1,0,0,0
10:30,630,11:00,g7,0,0,0,-1244,-4580,-3336
10:30,630,11:00,g8,0,0,0,0,-1600,-1600
10:30,630,11:00,g9,0,0,0,-444,-2577,-2133
11:00,660,11:30,g1,0,0,0,3621,3711,90
11:00,660,11:30,g2,0,0,0,-178,-356,-178
11:00,660,11:30,g3,1,6,7,13140,22243,9103
11:00,660,11:30,g4,0,0,0,-4178,-4889,-711
11:00,660,11:30,g5,2,5,7,7118,10819,3701
11:00,660,11:30,g6,1,2,3,0,4828,4828
11:00,660,11:30,g7,2,2,4,-4580,-872,3708
11:00,660,11:30,g8,0,0,0,-1600,-3555,-1955
11:00,660,11:30,g9,0,0,0,-2577,-5511,-2934
11:30,690,12:00,g1,1,0,1,3711,4485,774
11:30,690,12:00,g2,0,0,0,-356,-445,-89
11:30,690,12:00,g3,0,0,0,22243,23827,1584
11:30,690,12:00,g4,0,0,0,-4889,-6577,-1688
11:30,690,12:00,g5,0,3,3,10819,16235,5416
11:30,690,12:00,g6,2,2,4,4828,6724,1896
11:30,690,12:00,g7,1,1,2,-872,-4010,-3138
11:30,690,12:00,g8,0,0,0,-3555,-5601,-2046
11:30,690,12:00,g9,0,0,0,-5511,-7467,-1956
12:00,720,12:30,g1,0,0,0,4485,1554,-2931
12:00,720,12:30,g2,0,0,0,-445,-5600,-5155
12:00,720,12:30,g3,2,2,4,23827,23462,-365
12:00,720,12:30,g4,0,0,0,-6577,-12357,-5780
12:00,720,12:30,g5,1,1,2,16235,14364,-1871
12:00,720,12:30,g6,1,6,7,6724,14828,8104
12:00,720,12:30,g7,0,1,1,-4010,-6089,-2079
12:00,720,12:30,g8,1,0,1,-5601,-6756,-1155
12:00,720,12:30,g9,1,1,2,-7467,-11467,-4000
12:30,750,13:00,g1,1,0,1,1554,2,-1552
12:30,750,13:00,g2,1,3,4,-5600,-3227,2373
12:30,750,13:00,g3,0,0,0,23462,23333,-129
12:30,750,13:00,g4,1,0,1,-12357,-16712,-4355
12:30,750,13:00,g5,1,1,2,14364,13939,-425
12:30,750,13:00,g6,1,3,4,14828,17705,2877
