window,time,minute,hit_count
5,10:15,615,1
5,10:20,620,0
5,10:25,625,0
5,10:30,630,1
5,10:35,635,0
5,10:40,640,2
5,10:45,645,0
5,10:50,650,0
5,10:55,655,1
5,11:00,660,1
5,11:05,665,2
5,11:10,670,0
5,11:15,675,3
5,11:20,680,0
5,11:25,685,0
5,11:30,690,0
5,11:35,695,2
5,11:40,700,0
5,11:45,705,0
5,11:50,710,1
5,11:55,715,1
5,12:00,720,1
5,12:05,725,0
5,12:10,730,0
5,12:15,735,2
5,12:20,740,2
5,12:25,745,1
5,12:30,750,1
5,12:35,755,2
5,12:40,760,0
5,12:45,765,0
5,12:50,770,2
5,12:55,775,1
5,13:00,780,1
5,13:05,785,0
5,13:10,790,1
5,13:15,795,3
5,13:20,800,1
5,13:25,805,2
5,13:30,810,0
5,13:35,815,0
5,13:40,820,1
5,13:45,825,1
5,13:50,830,1
5,13:55,835,0
5,14:00,840,3
5,14:05,845,0
5,14:10,850,1
5,14:15,855,3
5,14:20,860,3
5,14:25,865,2
5,14:30,870,2
5,14:35,875,3
5,14:40,880,1
5,14:45,885,1
5,14:50,890,0
5,14:55,895,1
5,15:00,900,3
5,15:05,905,0
5,15:10,910,1
5,15:15,915,1
5,15:20,920,2
5,15:25,925,0
5,15:30,930,2
5,15:35,935,3
5,15:40,940,2
5,15:45,945,2
5,15:50,950,1
5,15:55,955,1
5,16:00,960,1
5,16:05,965,1
5,16:10,970,1
5,16:15,975,0
5,16:20,980,3
5,16:25,985,2
5,16:30,990,2
5,16:35,995,3
5,16:40,1000,1
5,16:45,1005,4
5,16:50,1010,1
5,16:55,1015,2
5,17:00,1020,0
5,17:05,1025,1
5,17:10,1030,6
5,17:15,1035,5
5,17:20,1040,1
5,17:25,1045,3
5,17:30,1050,1
5,17:35,1055,0
5,17:40,1060,2
5,17:45,1065,1
5,17:50,1070,1
5,17:55,1075,2
5,18:00,1080,0
5,18:05,1085,2
5,18:10,1090,0
5,18:15,1095,0
5,18:20,1100,2
5,18:25,1105,0
5,18:30,1110,0
5,18:35,1115,2
5,18:40,1120,1
5,18:45,1125,2
5,18:50,1130,0
5,18:55,1135,0
5,19:00,1140,0
5,19:05,1145,0
5,19:10,1150,2
5,19:15,1155,1
5,19:20,1160,1
5,19:25,1165,0
5,19:30,1170,0
5,19:35,1175,2
5,19:40,1180,0
5,19:45,1185,0
5,19:50,1190,2
5,19:55,1195,1
5,20:00,1200,2
5,20:05,1205,0
5,20:10,1210,2
5,20:15,1215,1
5,20:20,1220,0
5,20:25,1225,0
5,20:30,1230,0
5,20:35,1235,0
5,20:40,1240,0
5,20:45,1245,0
5,20:50,1250,0
5,20:55,1255,0
5,21:00,1260,0
5,21:05,1265,0
5,21:10,1270,0
5,21:15,1275,1
10,10:10,610,1
10,10:20,620,0
10,10:30,630,1
10,10:40,640,2
10,10:50,650,1
10,11:00,660,3
10,11:10,670,3
10,11:20,680,0
10,11:30,690,2
10,11:40,700,0
10,11:50,710,2
10,12:00,720,1
10,12:10,730,2
10,12:20,740,3
10,12:30,750,3
10,12:40,760,0
10,12:50,770,3
10,13:00,780,1
10,13:10,790,4
10,13:20,800,3
10,13:30,810,0
10,13:40,820,2
10,13:50,830,1
10,14:00,840,3
10,14:10,850,4
10,14:20,860,5
10,14:30,870,5
10,14:40,880,2
10,14:50,890,1
10,15:00,900,3
10,15:10,910,2
10,15:20,920,2
10,15:30,930,5
10,15:40,940,4
10,15:50,950,2
10,16:00,960,2
10,16:10,970,1
10,16:20,980,5
10,16:30,990,5
10,16:40,1000,5
10,16:50,1010,3
10,17:00,1020,1
10,17:10,1030,11
10,17:20,1040,4
10,17:30,1050,1
10,17:40,1060,3
10,17:50,1070,3
10,18:00,1080,2
10,18:10,1090,0
10,18:20,1100,2
10,18:30,1110,2
10,18:40,1120,3
10,18:50,1130,0
10,19:00,1140,0
10,19:10,1150,3
10,19:20,1160,1
10,19:30,1170,2
10,19:40,1180,0
10,19:50,1190,3
10,20:00,1200,2
10,20:10,1210,3
10,20:20,1220,0
10,20:30,1230,0
10,20:40,1240,0
10,20:50,1250,0
10,21:00,1260,0
10,21:10,1270,1
30,10:00,600,1
30,10:30,630,4
30,11:00,660,6
30,11:30,690,4
30,12:00,720,6
30,12:30,750,6
30,13:00,780,8
30,13:30,810,3
30,14:00,840,12
30,14:30,870,8
30,15:00,900,7
30,15:30,930,11
30,16:00,960,8
30,16:30,990,13
30,17:00,1020,16
30,17:30,1050,7
30,18:00,1080,4
30,18:30,1110,5
30,19:00,1140,4
30,19:30,1170,5
30,20:00,1200,5
30,20:30,1230,0
30,21:00,1260,1
