group,machine_count,machines,initial_count,continuation_count,total_hit_count,continuation_per_initial,final_group_close
g1,4,"046,055,064,073",15,74,89,4.9333,73512
g2,4,"047,056,065,074",9,28,37,3.1111,-23743
g3,5,"039,048,057,066,075",23,60,83,2.6087,28001
g4,5,"040,049,058,067,076",17,34,51,2.0,-24448
g5,5,"041,050,059,068,077",25,59,84,2.36,-5793
g6,4,"042,051,060,069",11,21,32,1.9091,-15616
g7,4,"043,052,061,070",12,43,55,3.5833,-687
g8,4,"044,053,062,071",16,24,40,1.5,-27528
g9,4,"045,054,063,072",16,27,43,1.6875,-9578
