order,time,machine,group,source
1,10:08,0057,g3,PSCUBE history CSV status=初当り
2,10:23,0070,g7,PSCUBE history CSV status=初当り
3,10:24,0058,g4,PSCUBE history CSV status=初当り
4,11:00,0048,g3,PSCUBE history CSV status=初当り
5,11:00,0062,g8,PSCUBE history CSV status=初当り
6,11:02,0040,g4,PSCUBE history CSV status=初当り
7,11:05,0074,g2,PSCUBE history CSV status=初当り
8,11:31,0056,g2,PSCUBE history CSV status=初当り
9,11:53,0060,g6,PSCUBE history CSV status=初当り
10,11:56,0064,g1,PSCUBE history CSV status=初当り
11,12:02,0047,g2,PSCUBE history CSV status=初当り
12,12:29,0067,g4,PSCUBE history CSV status=初当り
13,12:39,0041,g5,PSCUBE history CSV status=初当り
14,12:45,0077,g5,PSCUBE history CSV status=初当り
15,12:51,0050,g5,PSCUBE history CSV status=初当り
16,12:52,0075,g3,PSCUBE history CSV status=初当り
17,12:57,0053,g8,PSCUBE history CSV status=初当り
18,12:57,0068,g5,PSCUBE history CSV status=初当り
19,13:03,0043,g7,PSCUBE history CSV status=初当り
20,13:19,0045,g9,PSCUBE history CSV status=初当り
21,13:19,0055,g1,PSCUBE history CSV status=初当り
22,13:26,0054,g9,PSCUBE history CSV status=初当り
23,13:36,0066,g3,PSCUBE history CSV status=初当り
24,13:57,0072,g9,PSCUBE history CSV status=初当り
25,14:06,0044,g8,PSCUBE history CSV status=初当り
26,14:07,0061,g7,PSCUBE history CSV status=初当り
27,14:07,0069,g6,PSCUBE history CSV status=初当り
28,14:11,0071,g8,PSCUBE history CSV status=初当り
29,14:25,0059,g5,PSCUBE history CSV status=初当り
30,14:29,0065,g2,PSCUBE history CSV status=初当り
31,14:32,0051,g6,PSCUBE history CSV status=初当り
32,14:57,0063,g9,PSCUBE history CSV status=初当り
33,14:57,0073,g1,PSCUBE history CSV status=初当り
34,15:13,0049,g4,PSCUBE history CSV status=初当り
35,15:14,0046,g1,PSCUBE history CSV status=初当り
36,15:48,0076,g4,PSCUBE history CSV status=初当り
37,16:54,0039,g3,PSCUBE history CSV status=初当り
38,17:25,0042,g6,PSCUBE history CSV status=初当り
39,17:33,0052,g7,PSCUBE history CSV status=初当り
