group,time_bin,start_time,end_time,initial_count,continuation_count,total_hit_count,continuation_per_initial
g1,09-12,09:00,12:00,1,0,1,0.0
g1,12-15,12:00,15:00,4,5,9,1.25
g1,15-18,15:00,18:00,9,33,42,3.6667
g1,18-close,18:00,24:00,1,4,5,4.0
g2,09-12,09:00,12:00,2,3,5,1.5
g2,12-15,12:00,15:00,3,3,6,1.0
g2,15-18,15:00,18:00,7,17,24,2.4286
g2,18-close,18:00,24:00,4,12,16,3.0
g3,09-12,09:00,12:00,3,10,13,3.3333
g3,12-15,12:00,15:00,7,8,15,1.1429
g3,15-18,15:00,18:00,7,23,30,3.2857
g3,18-close,18:00,24:00,3,8,11,2.6667
g4,09-12,09:00,12:00,2,0,2,0.0
g4,12-15,12:00,15:00,4,6,10,1.5
g4,15-18,15:00,18:00,6,6,12,1.0
g4,18-close,18:00,24:00,9,21,30,2.3333
g5,09-12,09:00,12:00,0,0,0,
g5,12-15,12:00,15:00,7,23,30,3.2857
g5,15-18,15:00,18:00,9,7,16,0.7778
g5,18-close,18:00,24:00,8,10,18,1.25
g6,09-12,09:00,12:00,1,0,1,0.0
g6,12-15,12:00,15:00,7,4,11,0.5714
g6,15-18,15:00,18:00,9,24,33,2.6667
g6,18-close,18:00,24:00,5,18,23,3.6
g7,09-12,09:00,12:00,1,0,1,0.0
g7,12-15,12:00,15:00,6,28,34,4.6667
g7,15-18,15:00,18:00,4,6,10,1.5
g7,18-close,18:00,24:00,8,12,20,1.5
g8,09-12,09:00,12:00,1,5,6,5.0
g8,12-15,12:00,15:00,5,24,29,4.8
g8,15-18,15:00,18:00,6,8,14,1.3333
g8,18-close,18:00,24:00,2,1,3,0.5
g9,09-12,09:00,12:00,0,0,0,
g9,12-15,12:00,15:00,6,13,19,2.1667
g9,15-18,15:00,18:00,5,23,28,4.6
g9,18-close,18:00,24:00,7,20,27,2.8571
